chinese,english,unsloth/Qwen2-0.5B-Instruct-bnb-4bit,unsloth/Qwen2-0.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit,unsloth/Qwen2-1.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned)
村里街道上也水深及膝，骡马牛羊都泡在水里，水上漂着牲畜们稀薄的排泄物。,"The water in the village was knee-high, covering the legs of livestock, whose waste floated on the surface.","In the village's streets, water was as deep as the knee of a horse or a mule or a pig or a lamb. The water was floating over the bodies of animals that had gone through the pails.","The streets were underwater, and animals (horse, goat, buffalo, mule, calf) remained submerged while the waste products of their manure floated around like droplets of water.","The streets of the village were flooded up to the knees with water too, horses, cows, and sheep floating on the water while their feces floated along.","Village streets were flooded waist deep, bathing both people and animals; floating atop the water was the translucent waste matter of the animals.","In the village's streets as well, water is deep enough that it goes up to the knees; horses, donkeys, sheep, goats, and livestock all sit in the water, spilling out their dirty butterscotch from the water.","The streets were flooded all the way down to the hatches above the water, where buffalo, mules, and horses came soaking wet as their stables were filled with suds.","The streets of the village were also flooded knee-deep with water; horses, mules, oxen, and sheep floated in the water, and the feces of the animals was floating on top of the water.","On the main thoroughfare in the village, the water was waist deep, and mules, oxen, and sheep swam in it, floating their light waste floats atop the murky water."
我在一边看完了才走。,I didn't leave until I witnessed the whole episode.,I finished reading one chapter before I left.,I finished reading my story before I left and quickly walked away from here.,I finished reading it while I was watching.,I finished reading it while you were gone.,I watched the entire film before I left.,"As I finished reading, I left the office.",I watched it from the beginning before I left.,I finished reading it from the side.
低头看去，宽阔笔直的马路上跑着如豆的汽车，成串的亮珠子。,"Below, the cars speeding down the straight broad roads looked like a chain of pearls.","As you look down at this scene, a broad road is lined with cars running like beans. There are dozens of bright lights on each one.","As he looked down, a broad road was crossed by countless cars with images of dots on their roofs. There were fish tails of jewels going up in the sky.","Looking down, I saw a broad straight road with cars running like tiny lamps on it, all in rows.","Lowering his head he saw broad, straight, traffic-filled roads where car lights snaking along were like the beans of little beans.","Looking down at them, a large road full of cars running like beans. They were clustered like beads.","As he looked down, a broad road was being plied by numerous cars, packed ends of peas, skittering together.","Looking down, a wide straight road is filled with small cars running like beads of light, making up rows of bright spots.","Lowering his head, he saw broad, straight roads filled with slender cars, moving like beads down a string,"
成名如此之早，当真古今罕有。”,"To have won such fame, and so early in life too, is an almost unparalleled achievement.'",He was so early in his career that it is rare to find such a phenomenon in ancient times.,"And, naturally, not many people knew about him when he first became famous.'","So early a rise to fame? That's truly unprecedented.""",To begin with at your age!',"It is so early for him to be famous that he has never been seen before in history.""",And he did seem unusually successful when it came to launching his literary career.',"Such a famous name so early in life, truly unique in history.",To become a famous scholar so early in life is indeed rare.'
待雄飞高举，明冬再晤，岂非大快之事！”,How delightful it will be to meet again next winter when you have distinguished yourself by soaring to the top over all the other candidates!',"In winter, let me fly high and meet you again. What is this not a good thing!","Then, when their flights have reached new heights of splendor, our springtime reappearance should not be辜负! ’","Let him fly high until winter comes again. Isn't it a great pleasure!""","When, next winter， when time to see you again, I hope all goes well here first, we can meet once more—what a happy thought!'","Wait for him to fly high, meet again next winter, isn’t that a good thing!""","And if they show us the soaring falcons again in the spring next year, what would we have got from a win-win for us!'","Wait for him to fly high, then meet again in the winter! How great will it be!""","When, next winter, we can meet face to face once more, imagine how pleasure that will be!'"
纵声大笑，身子跟着乱动，右腿一曲，右手已抓住了匕首柄，极慢极慢的从剑鞘中拔出，不发出丝毫声息，就算有了些微声，也教笑声给遮掩住了。,He kept up the artificial laughter in order to cover up the wriggling of his body. While he was talking and laughing he had managed to draw up his right leg so that he could get his hand on the dagger in his boot and draw it from its sheath. Any slight sound that this operation might have given rise to was masked by his idiotic cachinnation.,"Silently laughing, his body moved in unison with a series of laughter-filled motions, his right leg twisting, and he was holding onto the blade's handle. Slowly and carefully, he extracted the dagger from its sheath. He didn't make any sound as if there were any sounds at all, so that the laugh could be drowned out by the sound of the knife.","He went on crying loud and swinging his body around heunited his right knee, with which he pulled the dagger out of his belt and secured it back in his hand; then he put it down with a quiet sound, so that even if he had produced a sound, it would be dwarfed by the cheers of the放开的手。","He laughed loudly and his body moved erratically. He bent his right leg, then quickly pulled out a dagger from the sheath with his left hand. He did not make any sound as he extracted it slowly. Even if there was some small noise, it would be covered by the laughter.","He began laughing again, which caused his whole body to jerk into motion; then, very slowly, he placed the point of the dagger in his own belt, drew it out of the sheath, and nearly undid himself as he brought it from its scabbard, so nearly did it sound like a loud laugh.","The voice of laughter echoed through the room, and its body moved with every step. The right leg twisted, holding the knife handle tightly. Slowly and painfully, he extracted it from the sword belt. There was no sound, so there was no need for him to speak or even make a sound. Even if there were some slight noise, his laughter would be swallowed by the silence.","He let out a loud shriek, his body swerving with it, then, twisting his right leg short of his chest and drawing his dagger from its sheath, put it back inside himself, at a very slow pace, as he did so, allowing the sound of his sobs to be completely drowned out by the laughter.","Laughing loudly, he moved about wildly with his body as if drunk. He bent his right leg and caught the handle of the dagger with his right hand. He slowly drew it from its sheath without making a sound at all, even though there was some noise, it was covered up by laughter.","He began laughing loudly, his body starting in all directions, as he gripped the dagger handle with his right hand; then, very slowly, he brought it near to the snaffle of his belt, took it out of its scabbard as though there was no noise, making hardly any disturbance, and for the present at least none was heard."
他似乎没听见。 我劈手把牛鼻绳夺了下来，他就朝我挥了一巴掌。,"He didn't seem to hear me, so I snatched the tether from him and he slapped me without thinking.",He did not hear me. I took out the horse's nose chain from him and hit him with a fist.,"He didn't hear me, though. I torn it up and he gave me a slap.","He didn’t seem to hear me. I snatched the bull’s nose rope out of his hands, and he hit me with a slap.",He didn't seem to hear me. I snatched the bridle from him and slapped him.,He didn't hear me. I took his nose chain from him and he hit me on the head with a fist.,"He didn't hear me, though. I ripped the stork harness from him and he gave me a slap.",He didn’t seem to hear me. I snatched away the bull’s lead rope and he slapped me across the face with a palm.,"He didn't seem to hear me, so I snatched the bridle from him and struck him with it."
世界是平的，向各个方向延伸到很远很远，但总是有边的。,"The world was flat and extended very far in each direction, but ultimately there was an edge where it met the sky.","The world is flat, stretching out from every direction, but always there is a border.","The world is flat, always there. There's a boundary somewhere.","The world is flat, extending infinitely in all directions but always with a border.","The world is flat, extended out indefinitely in all directions; but everywhere there is borders.","The world is flat, stretching out infinitely in all directions, but always there's a boundary.","The world is flat, and infinitely broad. But there is a boundary somewhere.","The world is flat, extending far and wide in all directions, but always with borders.","The world is flat, which extends far and wide; but everywhere there are borders."
其实我们随时可以逃走，但她不乐意。,"Actually, we could have left anytime, but she didn't want to.","In fact we can always escape, but she doesn't want to.","We could have run away anytime, but she didn't want to.","In fact, we can always run away, but she doesn’t want to.","We could have run away any time, but she said she wasn't ready.","Actually we can run away anytime, but she doesn't want to.","We could have run away anytime, but she didn't want to.","In fact we can always run away, but she doesn’t like it.","Actually we could have run away anytime, but she didn't feel like it."
后来人家又不怀疑我们去了国外，开始对她比较客气，经常叫她到医院去，给参谋长看前列腺炎。,"Later on they stopped suspecting we had gone abroad. They began to deal with Chen Qingyang in a more civilized way, often asking her to go to the hospital and treat the prostatitis of the chief of staff.","Later, they did not doubt that we had gone abroad. They began to be more polite toward her and often called on her to go to the hospital to see her for prostate problems.","So after a while they didn't suspect us at all to have left abroad for another job, and they became more friendly with her—time would soon come when our doctor asked her to look up some prostate problems for us.","Later they no longer doubt that we had gone abroad, so they began to treat us with respect and often take her to the hospital for a check-up on prostate problems.","After a while, they started being more polite toward her; they would often take her to the hospital, having the military deputy examine her prostatitis, which, incidentally, explained why she had been so nasty to me in the first place.","After all that, he said, ""We've never been to foreign countries; she is still very polite to us. She calls on us often to see her for prostate cancer.""","So when they found out we'd gone abroad, they didn't suspect us very much; actually, they took us out to the hospital on occasion to look at our prostatectics.","Later people started treating us with some respect as we were abroad, often taking her to the hospital for a prostate exam.","After a while, they started treating her kindly again, calling her to the hospital quite frequently for检查, especially after she got married and began getting problems with her prostate."
急的霍启直寻了半夜， 至天明不见，那霍启也不敢回来见主人，便逃往他乡去了。,"Frantically he searched for her throughout the rest of the night; but when day dawned and he had still not found her, he took to his heels, not daring to face his master and mistress, and made off for another part of the country.","The sudden appearance of a man named Hao Jiaitai was so unexpected that he spent the whole night looking for him, but he could not find him either. He had no intention of returning home after this.","At first Trinket could do nothing about it, for over a half-day he failed to find General Liu. He was afraid of arriving in person to face his poor old master. So he fled to someplace far away.",Ho Jucheng ran all night after he couldn’t find his master. He didn’t dare to return home even when it was morning so he fled to another place instead.,"Night and day he searched for her everywhere, but could not find her, and when day broke he fled, straight away, to a remote village somewhere, where he lives to this day.","Chilled out Hao Jie hurried up late at night, but never saw him again, so he went off somewhere else.""","In despair he had gone out again through midnight searching for the old master, who came back to find him离去，从此失了声息，在他乡生活。","Hou Qi straightly searched all night, but didn't see him until the next morning. Hou Qi didn't dare to return home to his master either, so he fled away.","Tonight Trinket had to spend a night hunting them all around town; but by morning they were nowhere to be seen, and he didn't dare go back to ask the owner what had become of them, so they had to set off on another adventure."
那男孩反手抓住他右腿使劲一扯，韦小宝仰面便倒。,"The boy quickly grabbed his right leg and tugged at it, sending Trinket crashing down on his back.",The boy grabs his right leg with one hand and pulls him forward with all his strength.,The boy pulled out his right hand and gave it jerk after jerk to try and pin him down. Trinket fell heavily on his back.,The boy grabbed his right leg with his backhand and pulled hard. He fell over backwards onto his face.,"The boy let go of his leg, spun him round, and threw him across the room.",The boy grabbed his right leg with one hand and pulled him up by the neck. He fell to the ground in a heap.,"The boy turned to him with a right knee, pulled him down, and then put him on the ground.",The boy caught his right leg with a reverse hand and pulled it hard. Hu Xiaopang fell on his back face down.,"The boy let go of Trinket's leg and spun him round, bringing him face down on the floor."
王琦瑶听了这话又是一笑，仰起脸看了严师母说道：我这样的人，还谈什么结婚不结婚的话呢？,"Wang Qiyao responded with another laugh. Raising her head, she looked Madame Yan straight in the eye. 'A woman like me. . . . How could I talk of marriage?'","Ow, Oow,"" Wang Guorong laughed again as he looked at严老师娘子：“What about getting married or not? I still have something to say!""","Wang Qiyao laughed at her.举起头对严师母说: What matter whether I get married or not? Well, I don't need to waste my time with you!",Wang Qiuyue smiled again at this and looked up at Madame Ji said: This kind of person can talk about marriage or not marry?,Wang Qiyao raised her face and laughed. 'Oh this sort of thing does not affect my decision whether or not to get married. Who am I to talk about marriage?',"I smiled again at Ling Feng's words. I looked up at her and said: ""Why do you still talk about getting married or not? How can we possibly know what we'll do?""",Wang Qiyao laughed again. She raised her head with extreme interest: In my skin! I am no candidate for marriage.,"Wang Qiuliang heard this and smiled again. She looked at Aunt Dian and said: ""I am such a person as you can talk about marriage or not marrying?""",Wang Qiyao raised her face and laughed. 'Oh Mr. Cheng! Who has the energy to talk about being married or not being married?'
她承认她那天心情非常激动，确实像考拉熊。,She admitted that she was very excited that night and really felt like a koala bear.,She admitted that she was extremely excited that day and indeed like a Kangaroo Bear.,She admitted that she was feeling so excited that she looked like a pug dog that had been扒掉内里。,"She admitted that she was very excited on that day, just like a koala bear.","She admitted that she was very excited that day, and indeed she was like a teddy bear.",She admitted that she was very excited on that day and indeed like a penguin bear.,"She admitted she was feeling so excited that day, exactly like a pug puppy.","She admitted that she was very excited on that day, just like a koala bear.","She admitted that she was very excited that day, and her mood was exactly like a polar bear."
我们村子的历史又翻开了新的一页。,A page in the history of our village had been turned.,Our village has turned a new chapter over again.,Our history would be written from a new chapter.,The history of our village has turned a new page.,The history of our village had turned a new page.,Our village's history has begun a new chapter again.,Our history would be written from a new chapter.,Our village's history has turned a new page again.,The history of our village had turned a new page.
这是深入肌肤，已经谈不上是亲是近，反有些起腻，暗底里生畏的，却是有一股噬骨的感动。,"This is a feeling that, having penetrated the flesh, goes beyond closeness. One begins to weary of it. It breeds a secret fear, but hidden within that fear is an excitement that gnaws down to the bone.","This is a deep penetration into the skin, which doesn't seem to be close or near at all; perhaps it's a touchy subject, but there is something stirring within the dark corners that gives me fear.",It feels more like being near someone's skin than its core; one has a摄魂魄般的感动。,"This is skin-deep, not close enough for a kiss or a hug, but it has a kind of charm that makes you feel scared at your own back.","To the extent that she was engaged, it could not anymore be called friendship—that intimate feeling between people for each other. It was becoming a bit boring, like a fearful but irresistible force that exerted an insidious pull upon her.","This is skin deep, it doesn't really matter if it's close or far, but it seems to have a certain attraction towards something that makes its heart boil. Yet there's a strong, biting feeling within it which is almost like a gnawing bite. This is one of those things that leaves you with a cold, unflattering feeling.","It goes beneath the skin and involves no mere familiarity; it is the deep, gnarled secret beneath the bone, where one is told of how a snake licks up a dead man and leaves a bloodstain on its jaws even after the meal has been finished.","This is skin-deep, not a close or intimate relationship, but it's a bit too familiar, and there's a kind of fear that rises up inside you from the bottom of your heart – an indelible feeling of love.","This fear was augmented by the gradual familiarity of the experience, until what was once unsettling was now merely a一股深处滋生的发毛的感觉。"
“昨天高密大集，有去赶集卖草鞋的没有？”香色呢礼帽又问。,'Did he take his straw sandals to market day in Gaomi yesterday?',"Yesterday, there was a highmarket, and no one went to buy boots for sale? The color and style of his hat asked again.",How many times were there no tourists on High Moon Market yesterday?' The velvet police officer asked.,"Did anyone go to High Mifeng Market yesterday to sell their shoes?"" asked Song.",Did anyone sell high-ranking leather sandals at the Gou-ri market yesterday?' he asked.,"Yesterday, there was a high market, but no one went shopping for shoes? The color and style were also asking.","Did you count people going to market today in High Duumire?' he asked, asking.","Did you go to the high density fair yesterday and sell your clogs?"" asked Shang Shi Niu.",I'm wondering if I can sell some sandalwoods at the market in Gaomi today?' he asked.
其为崖山以后耶？ 如此江山不忍视。,Or is it after Mount Yai's fateful leap? This lovely land then scarce dared breathe its name.,Is this a place that once belonged to Yehang? Such a landscape is too beautiful for me to see.,What then of the beautiful land to come? We really must forget it.,It is from Huaishan? How can I bear to look at this land.,And is this the江山， that those who see it shrink from?,"Is this the end of Yushan? Such a beautiful land is too hard to see.""",So for what is that of this old tombstone? I have seen more worthy things on my journey than this!,Is it after the Battle of Jiaoshan? How can I bear to look at this land?,"Gou-er was he, of Yu-cun? I shudder at this lovely land of yours."
他为甚么不去禀报皇上？,But I wonder why he doesn't tell the Emperor?,Why did he not report to the Emperor?,But why couldn't he have gone directly to the Emperor's quarters?,Why doesn't he report it to the emperor?,Why didn't he go reporting for his Emperor?,Why did he not inform the emperor?,But why can't he go directly to the Emperor?,Why doesn't he report to the emperor?,Why didn't he go and report to the Emperor?
忽然灯光一闪，只见贾蔷举着个蜡台，照道：“谁在这屋里呢？”,Suddenly a light flashed --- and there was Jia Qiang holding aloft a candle in a candlestick which he shone around: 'Who is in this room?',"Suddenly a light flickers, just as Qu Yuan raised his candlestick and looked at him. ""Who is there here?""",Then at a sudden flash his light went out. It showed the shape of a wax figure. 'Who is it for?',"Suddenly a flash of light occurred as Jia Ruan held up a waxed table and said, ""Who is here?""",Suddenly the lights flashed again and Jia Qiang was standing there with his lantern in his hand: 'Who's been here?' he demanded.,"Suddenly a light flickers, and he sees Quán Cái jiu yào diàn diào, looking at him with his eyes shining.","Then at a sudden flash his lights went off and Jia Qiang stood there holding a candle, reflecting: Who is this that you should look like?'","Suddenly a flash of light appeared as Jia Ruan held up a candlestick and asked, ""Who's here?""","Suddenly the lights flashed and Jia Qiang was up on the stool with a little altar before him, asking 'Who's here?'"
“为什么？”,'Why?',"Why?""",Why?',"Why?""",Why?',"Why?""",Why?',"Why?""",Why?'
凤姐笑而不睬，叫平儿把昨儿那包银子拿来，再拿一串钱，都送至刘老老跟前。,But Xi-feng laughed quite unconcernedly and told Patience to wrap up the silver and also to fetch a string of cash to go with it. The money was set down in front of Grannie Liu.,"Qian fēi xiù bǎ shì kǔ yǐ, zhī píng qí yú chéng gāo, bǎ yán jìn biàn cǎo róng jiào, bǎ yá qiàn cì sài zài tóu lì qián cǎo.",Xi-feng ignored them and told Patience to bring the same bag of silver that she had given to Grannie Liu.,Feng Jie smiled and did not reply. She asked Pei Er to bring back yesterday’s silver packet. Then she took out another set of money and gave it to Liu Laoer.,Feng Xue ignored his smile completely and instructed Patience to bring over the parcel of silver which she had shown him previously. There was also a string of coins which she told Grannie Liu to take.,"The queen smiled without any sign of hostility, and asked Pingyin to bring back the silver coin that was hidden in yesterday's bag. He also asked Pingyin to take a few coins as well, so that he could be sent to Tiantian behind him.",Xi-feng ignored Bao-chai's request and got hold of one of the bills which had been presented. He gave them to Grannie Liu and thanked her for their offer.,"Feng smiled but did not pay attention. She asked Pearl to bring back yesterday’s silver bag, then took out another set of money and gave them to Liu LaoLao.",Xi-feng ignored her smile completely and instructed Patience to bring over the bag of silver which she had shown Grannie Liu the day before and to take with her a string of characters to give to Grannie Liu.
你们的ID将被注销，下面请你们离开。,Your IDs will be deleted. Please leave now.,"Your ID will be deleted below, please leave us now.",Your IDs will be banned. Below is how to leave.,"Your ID will be cancelled, please leave now.","Your IDs will be cancelled, and you should leave now.","Your ID will be deleted, please leave now.",Your IDs will be deleted. Below is how to leave.,Your ID will be revoked. Please leave now.,"Your IDs will be cancelled, and you should leave now."
那老者掀起门帷，说道：“‘小白龙’韦小宝韦爷到！”,"There, stopping outside a doorway, the old man with the grizzled beard lifted up the door-curtain and announced them. 'Mr Trinket Wei, the Little White Dragon to see you.'","The old man raised his right hand and said: ""My son, 'Wu Xiaole' is coming.""","The old man raised the curtain and said 'Sir Qing Liu',''","The old man tore off the door curtain and said, ""Master White Dragon, Little Yellow Emperor has come!""","The old man raised the veil which separated the inside from the outside. 'Welcome, Mister Misty,' he called as he did so. 'Now you can go in.'","The old man掀开帐幔，道：“Wu Ba Long, my old friend, is here!”",The old man raised the curtain once more and spoke to 'Bai-er' (his替换的小名) of his own behalf.,"The old man then掀开门帘， saying, ""Master White Dragon, Little Yellow Emperor, here!""","The old man pushed aside the curtain. 'Old Black start's got a message for you, Young Master,' he said. 'He says to go in!'"
韦小宝见他不是向自己走来，暗暗舒了口气，心道：“老乌龟好厉害，眼睛虽然瞎了，居然能追到这里。”,Trinket breathed a silent sigh of relief when he saw that he was not walking in his direction. 'Who'd have thought the Old Turtle would be able to follow me all the way here in spite of being blind?' he thought.,"The expression on his face changed as he saw that it was not towards him but rather toward himself that he was now facing. He sighed inwardly, saying, ""Old man Guo is indeed very powerful, even though his eyesight is bad, he still managed to catch up to me here.""",Trinket took a little breath when he realized that the old man wasn't coming for him directly but rather having an alternate route in mind. 'Huh!' he muttered to himself; 'He's not blind.' And then he thought: 'Old things like that! The Old Devil is actually able to get here after all!',"Wu Xiaoya saw that he was not coming towards him, so he sighed inwardly. He thought, ""Old tortoise is really strong. Although his eyes were blind, he could still catch up here.""",Trinket breathed a sigh of relief. 'He's not after me!' he thought. 'Old Turtle-head is too smart for that. He's coming this way.',"Wu Shangbo saw that he was not coming towards him, and sighed inwardly. He thought: ""The old dog is very powerful, even though his eyesight has been lost, he still managed to catch up here.""","Trinket took a sigh through his lips when he saw that the old man didn't come towards him as he had originally hoped. 'Huh!' he muttered to himself. 'A poor bastard! Even though he's blind, he's managed to get here.'","Wu Xiaoya saw that he wasn’t coming towards himself and let out a sigh of relief. He thought, ""Old turtle is really good. Even though his eyesight is gone, he can still come here.""",Trinket breathed a sigh of relief. 'Goodness! The Old Devil's eyes must be very old!' he thought. 'Not even being blind he's got enough cunning to come after me here.'
只是许多时不走动，知道他如今是怎样?,'But it's a long time since you had anything to do with him and hard to say how he may prove after all these years.,"Just many don’t move, know how he is now?","However, for the most part he would stay at home not doing anything. How did life was back then for him?","Just that he's not moving around much now, knowing how he is.","However, when you next see him, just remember to ask how he is now.","Just many times he has not moved, do you know how he is now?","But they still didn't move very much—back then, you knew how much they wanted this room back.","Just because he doesn't move around so much, he knows how he is now.",But we should remember that sometimes she doesn't walk about much; how is her present state?
要知端的，且听下回分解。,"If you wish for further details, you may learn them in the following chapter.","Knowing end, let us break it down next time.","If you wish to know the true story, read on in the next book.","To know the truth, let's hear the next episode.","If you wish to know the conclusion of this scene, you must read the following chapter.",Knowing End is what you're looking for next time.,"If you wish to know the true story, read on in the next book.","To know the end of it, let us hear what happens next.","If you wish to know the conclusion of this scene, you must read the following chapter."
中间退出来一次，只见小和尚上血迹斑斑。,I pulled out once in the middle of it and found my little Buddha smeared with blood.,"Then, a middleman enters again. Just now, there was blood on his clothes.""","After walking for a while, one of them fell down as another tried to sneak past him.","Suddenly, he saw a small monk with bloodstained clothes coming out of the middle.","Having done so, he returned to the front. To his great dismay, he found the little Buddha with blood-stained hands and face.","Please translate the following Chinese text into English and provide only the translated content, without any other information or context.","After walking for a while, one of them finally fell down. There was a blood-stain on his head.","Suddenly, a monk rushed out from behind him with blood on his clothes.","When he came back, the little Buddha was fighting the blood."
男的原来是个猎户，也采些药材，后来周围的林子越来越少，就种地了，但人们还是叫他齐猎头儿。,"The old man used to be a hunter and also gathered some herbs for traditional medicine. Later, after the forest around the area was lost to logging, the couple had turned to farming, but people still called him Hunter Qi out of habit.","The man was a hunter originally, but he also cultivated some medicinal plants. The forest grew less and fewer, so he started farming, but people still called him Zhen Heng Tarter.","The man had been a herder too, but had also grown some药材. Then the forest had shrunk so much that only the landiers could call him Quandre's hound.","The man was originally a hunter, also collecting herbs. Later on, as the surrounding forests dwindled, he began farming. But people still called him ""Chen Geizi.""","One of the hunters was called Tai-ji, because he also picked herbs. But as the forest附近越来越少，只好改行种田。但由于人们 still called him Greater Huntingpest, he eventually gave up on farming and went on hunting.","The man before him was a hunter, as well as some medicinal plants. The trees started to decrease around him, so he started farming. But people still called him Zhenzheng Tarter.","The man had been a herder too, but had also picked some plants for inspiration. When the forest around the town declined and he grew land, people still called him Qijiatcheior, or Hunter General.","The man was a hunter originally, too, he collected some herbs. Later on, there were fewer woods around, so he planted crops. But people still called him Qilishiutou.","One of the men was a hunter who also collected medicinal plants. As the forest grew fewer and fewer, he settled on a plot of land, but people still called him Hunter Qi."
不是吗？ 太空电梯其实就是一条运河，像巴拿马运河连接了两个大洋一样，太空电梯将地球和太空连接起来……”,"Indeed, the space elevator is a canal. Just as the Panama Canal connected two oceans, the space elevator will connect space with the Earth.'","No, that's right? The space elevator is like a canal connecting two oceans - as Panama Canal connects the Atlantic Ocean and Pacific Ocean. So the space elevator links Earth and space…","No? But the space elevator is actually a canal, like Panama Canal. Like connecting an ocean with the other half of the world.—And space travels can link the earth with the universe....'","Isn't that so? The International Space Station is a bridge connecting two oceans, just like the Panama Canal connecting them; the space elevator will connect Earth and outer space...","Don't think they don't? Actually, a space elevator is like a canal as well. Imagine the Panama Canal connecting two oceans; a space elevator would connect Earth and outer space....'","Is that so? The space elevator is like a canal connecting two oceans, like Panama Canal, which connects the Earth's surface and the outer space. It will connect the Earth and the outer space together...","Don't think so. The Exospace Lift is like the Panama Canal, which connects the two oceans. Like the Panama Canal, it links the earth with the universe....'","Isn't it? The space elevator is just a canal like the Panama Canal connecting two oceans, linking Earth with outer space…""","Didn't they? How does a hyperloop feel like a canal, connecting two oceans like the Panama Canal, but then connects Earth to space? . . .'"
贾瑞道：“果真么？”,'Do you really mean this?' said Jia Rui.,"Really?""","Yes, exactly!'","Jia Rui said, ""Is this really true?""",I'm sure!' said Jia Rui.,"Really?""","Yes, really,' said Jia Rui.","Jia Rui said, ""Is that true?""",Really!' said Jia Rui.
只篦了三五下儿，见晴雯忙忙走进来取钱，一见他两个，便冷笑道：“哦!,"But he had not drawn it more than four or five times through her hair, when Skybright came bursting in to get some more money. Seeing the two of them together, she smiled sarcastically: 'Fancy!","Just three five minutes later, he saw her hurry over and take change, and then said coldly, ""Oh...!""",He had篦了几下的冷话。忽然看见晴雯在柜边匆匆地走进来要取钱，一听他的口才，便冷笑道:「哦，晴雯！,"Only flicked three or four times when he saw that Jingshen hurriedly walked in to take money. When he saw him two, he coldly laughed, ""Oh!""","After about thirty minutes he saw Nightingale coming hurrying in with his money in one hand and Skybright in another, both of them looking rather grave. ''Ah!","Just a few more minutes of my time, and I saw Pao Ling hurriedly enter and take the money. When he met him, he coldly said, ""Oh, yes!""","He had gone on talking for a few minutes, when Spineless Sis appeared and asks him directly before her face what he was doing. She wore an unreadable表情， but after listening attentively and identifying themselves by name gave him a cold laugh: 'Oh yes!","He had only beaten her a few times when she hurriedly came in to take money. When she saw him two people, she coldly laughed, ""Oh!""",He combed his hair for about five minutes when Shi-Qun came hurriedly in to get change. As he saw Old Colour and Sky Bright standing there he froze up first. 'Oh!
她猜想他是一个小开，舞场上的旧知那类人物，就从他身上派生出许多想象。,She took him to be some kind of playboy whom Wang Qiyao must have known back in her dance hall days. Madame Yan imagined all kinds of things about Mr. Cheng.,"She speculated that he was a small guy from the dance scene, like old acquaintances on the dance floor, which came out of him.","She suspected them to be old-school dancers who had once danced on the dance floor, since they all seemed to derive inspiration from them.","She suspected he was a small-time player from the dance floor, the kind of old acquaintance she derived many imaginings from him.",She assumed that he was small-time but had connections in the dance world and built up a mental picture around him as if he were an old friend.,"She speculated that he was a familiar from the dance scene, a type of character who had previously been around on the dance floor.","She wondered whether he was just a young acquaintance she happened to know inside the dance圈, who had inspired many imaginings from him.","She guessed he was a small-time hustler who was from a previous generation of dance floor figures, which gave rise to many imaginary images for him.","She imagined him to be a gambler, one of those regulars at the dance club who people talked about; this imaginary capital积累了许多真迹。"
该女儿说，好哇，你们原来是这么造的我！,"Her daughter said, Wow! So that's how the two of you made me.","The daughter said that she was good, you had made me this way!","The son-in-law explained, Good me, we're actually that way.","The daughter said, ""Oh, so that's how you made me!""","The daughter said, Good job! You've managed to construct my body all at once.","The daughter said, ""That's great! You made me like this!""",The daughter explained that we actually made each other up. . . . You know what? I'm like that too!',"The daughter said, ""Wow, that's how you made me!""","The girl said, Good job! You should have told me ahead of time that you were creating women like mine!"
她又笑，说道：不怎么。,"She smiled and said, Nothing.","She laughed again, saying: ""Not very much.""","She laughed again. 'No, really, '","She laughed again, saying: Not much.","She once again smiled and said, No, not much.","She laughed again, saying that it wasn't too bad.","She laughed and said, No, thank goodness for that.",She laughed again and said: Not much.,"Once more she smiled and said, Nothing."
自己要睡，天气尚早。,"He thought of going to bed himself, but it was still too early.","I need to sleep, it is still early.",The weather was still不错的，还没到中午时就可以睡觉。,"It is early still, so I will sleep myself.","Having decided that he wanted to sleep, he made the most of the early afternoon light.","I want to sleep, but it's still early.",The rain is still early.,"Sleep yourself, it's still early.","And if he did, it would be a while yet before he got to sleep."
轿夫们加快了步伐。,The bearers quickened their pace.,The carriage men were speeding up their steps.,The bearers sped up as well.,The ox-drawn carriages hastened their pace.,The bearers were steppinging faster.,The carriagemen sped up their steps.,The bearers sped up.,The oxmen sped up their pace.,The bearers began walking faster.
如果我多看她一眼，她就笑笑。,"If I looked at her again, she smiled back.","If I look at her for a second, she will smile.","If I had just looked at her for a moment, she would smile.",If I look at her longer she will smile.,"If I had looked at her for a longer time, she would have smiled.","If I look at her more than once, she smiles.","If I had gazed her in the eye for a moment, she would smile.","If I look at her for a moment longer, she will smile.","If I had looked at her for a longer time, she would have smiled."
