chinese,english,unsloth/Qwen2-0.5B-Instruct-bnb-4bit-run-1,unsloth/Qwen2-0.5B-Instruct-bnb-4bit-run-1(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit-run-1,unsloth/Qwen2-1.5B-Instruct-bnb-4bit-run-1(finetuned),unsloth/Qwen2-0.5B-Instruct-bnb-4bit,unsloth/Qwen2-0.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit,unsloth/Qwen2-1.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned)
桥墩就可以用作拉丝的柱子。”,The abutments at the two ends of the bridge can serve as the pillars for stringing the filaments.',A bridge can be used as a column for wire rope.,We could use a bridge pillar as a rope support.',"The bridge piers can be used as columns for the wire rope.""",So you can use the pillars at the ends of the abutments for the twisting wire fabric.',The bridge can be used as a pole for wire.,A bridge cable-stitch could have been used to make the slats.',A bridge piers can be used as a column for pulling.,So the dike pillars can be used as the filament windings.',The bridge can be used as a pillar for wire rope.,A bridge cable-stay could have been used as a column.',"A beam can be used as a bridge pylon.""",So the bridge abutments can be used as pillars for the filaments.'
只有我例外。,I was the only exception.,Only I am exception.,"However, I was the only one who didn't show.",Only I am different.,I was the one who didn't.,Only I am different.,"However, I was the only one who complained.",Only I am an exception.,Only me.,Only I am different.,But I was the only one who didn't show.,It's just me.,Except for one . . .'
我说，既然你不愿意见它，那就算了。,"I said, since you don't even want to look at him, let's just forget the whole thing.","I said, since you don't want to see it, then let's just go with it.","I said If you don't want to see her, then you shouldn't worry about it.","I said that if you don't want to see it, then let's just leave it alone.","I said, Since you don't want to see it, that's fine with me.","I mean, if you don't want to see it, then that's fine with me.","I said If you don't want to see them, then you shouldn't worry about it.","I said that if you didn't want to see it, then let's just forget about it.","I said, Since you don't want to see it, that's fine with me.","I said that you're not interested in it, so I'll leave it alone.","I said If you don't want to see me, it's all the same to me.","I said that if you don't want to see it, then let's just forget about it.","I said since you didn't want to see it, that was fine with me."
爷爷走着，他已经感觉不到自己的腿在何处，只是凭着一种走的强烈意念，在僵硬的空气的浊浪中，困难地挣扎。,All that kept Granddad moving was a powerful drive to push on and continue the bitter struggle against wave after murky wave of obdurate air.,"The grandfather walks, feeling no longer that his legs were at home but rather that he was walking with a strong will in a foggy sea of air.","Granddad went walking杖不离手，那感觉已极微妙,在他思想的硬壳中,顽强的空气努力向前冲。","Grandfather walked; he no longer knew where his legs were, but he was struggling against a strong urge to walk through thick, foggy air.","He no longer knew where his legs were; all he had was a strong will to keep walking, through impenetrable air currents swirling relentlessly around him.","As he walked, his legs no longer felt where they were, but rather a strong urge to move in the dense fog made him struggle against it.","Granddad walked off with his spirit, and Shi-yin couldn't feel where his leg was anymore; he did this by channeling a strong feeling he seemed to have. He was struggling hard in the clod of the stagnant ocean of air.","Grandfather walked, he did not even know where his legs were anymore. He struggled against the thick fog of hardening air with a strong will to walk.",He no longer knew precisely where his legs ended and his body began; all he had left was a strong will to keep walking through an air teeming with stagnant waves.,"Grandpa walks slowly, feeling no longer that his legs were in the place they were supposed to be. He was just walking with a strong, steady wave of air around him.","Granddad was unable to feel where Granddad's腿痛疼之处, but relied on a strong urge to move forward regardless.",Grandpa walked. He didn't know where his legs were anymore; he just pushed himself forward with a strong will in the dense air.,"He no longer knew where his legs were; all he had left was a strong will to drag himself forward through the mucky, stagnant air."
海老公脸一沉，说道：“借给老吴这小子有什么用？,Old Hai scowled at him. 'What do you want to go lending money to that Wu fellow for?,"His face dropped as he said, ""What does it do for you to lend this guy?",The old eunuch appeared impatient. 'What does having a pair of gloves for for work really mean?,"The sea cucumber's face sank as he said, ""What good is it for you to lend this to a kid like that?""",The old eunuch gave a deep sigh. 'I hope Old Wu isn't using it for something nasty.,"He lowered his head and said, ""What use is it for you to lend this son of a Jow to the old Gao?",The old eunuch faced the other man and a grimace. 'What does any of that really mean?,"The sea cucumber's face darkened and he said, ""What is the use of lending this to Rui?""","The old eunuch's face fell. 'By lending this little fellow a helping hand, do you think what I've done now?","His face fell as he said, 'What does it matter to give this son of a JG any money?'""",The old eunuch frowned. 'What does borrowing do a young man like Wu Jiang anything?,"The sea cucumber face sank, saying, ""What use is it to lend this youth?",The old eunuch's face fell. 'Huh! Why do you lend things to that little Rui guy for?
如果发生你所说的超过百分之一振幅的波动，这条线就会变红并将波动显示出来。,"If the kind of fluctuation you anticipate—in excess of one percent—occurs, this line would turn red and become a waveform.","If the wave you describe exceeds 1% of its peak amplitude, this line will turn red and display the wave.","If you mentioned an amplitude less than one percent that went above the band, this line would turn red and show what happened.","If a fluctuation of more than 1% occurs, this line will turn red and display the fluctuation.","If, by the percentage variations you're talking about, a line changes color and displays the fluctuation, that's what we call 'seeing.'","If you speak about a wave exceeding the 1% amplitude, this line will turn red and display the wave.","If you mentioned an amplitude above one percent where the wave would explode, the plot would turn red.","If you say that there is a one percent amplitude fluctuation above this line, then it will change color and show the fluctuation.","If by some miracle a one percent variation occurred, the curve would turn red and show the difference.","If you speak about a wave exceeding your specified percentage amplitude, the line will turn red and display the wave.","If you mentioned an amplitude greater than one percent, the wave would turn red and be displayed.","If you say that there is a one percent amplitude variation, this line will turn red and show the variation.","If, by some fortunate accident, there is a one percent difference between two consecutive cycles, the line will colorate and display the difference."
如今出挑的美人儿似的，少说着只怕有一万心眼子；再要赌口齿，十个会说的男人也说不过他呢！,"She's grown up to be a real beauty too, has Mrs Lian. But sharp! Well, if it ever comes to a slanging match, she can talk down ten grown men any day of the week!","Now she is a kind of woman who makes you want to say something but can't say it because there's only one mouth that speaks to her; then, if she wants to bet words, ten men would not be able to explain him!","Those on the cusp of adulthood must know by now that being a beautiful one is no sign of intelligence; besides, even those men who aren't very clever will try to argue with them about it anyway, because they know how important it is.","Now that she is out on her own, she may have a thousand wits; even if you talk with her for ten minutes, no man can talk with her more than one hundred times!","A young beauty like this is a very dangerous asset. If we gambit her, ten men would be hard put to it to keep up with her; and if we don't gamble, we've still got to be able to speak fluently, and nobody can speak better than a lady like her.","Out of sight, out of mind.""",People who shine more than others is better; a man who tells the truth is more popular than one who doesn't.,"Now a young beauty like this, if one were to talk of her thoughts, there would be as many as ten thousand; even ten men who could speak would not be able to say anything about her!","She sounds like a young beauty going out to dance whom her gentleman friend promises to accompany; for all that, not only has he mastered the hardest languages in the land, but to take part in a debate on them would be to give him far more than he would have ever expected!'","Now, a woman who is out of her depth! She might have one thousand eyes if she spoke more; ten men would not be able to tell him from his words!","Having reached the peak of elegance, only a thousand mental pixels were better left unused; and if he were to engage in lively discourse, his words probably would fail him ten times over!","Now she is a beautiful woman on the outs, with a thousand eyes. Even if we talk about words, ten men will not be able to say it!","She thinks of the handsome young man with the thousand-eyes, who, when he makes a debate with you, will win because there isn't another speaker in the world as good at tongue-talking as he is!"
我办过一个盗窃案，罪犯能把行驶中的列车中间的一节车厢偷了，前后的其余部分又完好地接起来开到终点站，用的工具只是一根钢丝绳和几只铁钩子。,I once handled a robbery where the criminals managed to steal one car out of a moving train. They reconnected the cars before and after the one they were interested in so that the train got all the way to its destination without anyone noticing. The only tools they used were a length of wire cable and a few steel hooks.,"I committed a theft once, and the criminal could steal from the middle of the train, and the other parts were perfectly intact after that, using tools just one piece of steel rope and several iron hooks.","I committed a robbery several times. The robber would steal a section of the trainbeds from the back, put on the front, and keep the entire shipbuilding building from turning up at the end, with tools just a raw stock of steel chains and some iron hooks.",I had done a robbery where the thief was able to steal one compartment of a train while the rest were intact and reconnected at the end station using just a piece of wire and some iron hooks.,I solved a theft case where the perpetrator had moved a section of the train between stations with no one noticing.,"I was involved in a theft before, and the thief could steal from one of the passenger cars' sections of the train between the front and rear, then connect them back together after they had finished traveling on their way to the destination station, using just a piece of wire and a few metal hooks.","I committed a theft once. The perpetrator would steal a section of the trainbeds from the back end and replace it with a intact center carriage, with a few bricolage tools, including a raw piece of steel rope and a few iron hooks.","I have handled a theft case. The thief could steal one section of a train that was moving on the tracks, while the rest of it was intact and connected together to be driven to its destination using just a piece of wire and some iron hooks.","I solved a theft case back when. The criminal had moved an entire section of the train between two stations using a steel cable and some iron hooks, and only used these tools. . . .","I have committed a theft case, and the culprit could steal the entire first floor of a train car after it had started moving, then connect the remaining parts back up at the end station using only a single piece of steel cable and several metal hooks.","I committed a theft several times. One of them roamed the entire car, restored one of the车厢的完整性, and used a single piece of steel cable.","I have handled a robbery case where a thief managed to steal one compartment of a train while it was moving on the tracks, then uselessly reassemble it with some iron hooks and a steel rope before using it to get the train to its destination.","I solved a theft case where the criminal had stole a section of train car while it was still in progress, and then used steel wire and a bunch of iron hooks to bend the remaining parts of the train together and take it back to the station where it was supposed to have ended. That's all he needed besides the steel wire."
老耿那时已七十多岁，孤身一人，享受“五保”待遇，是村里德高望重的人物，每逢诉苦大会，都要他上台诉苦。 每次诉苦，他都要剥掉上衣，露出一片疤痕。,"Old Geng, who was already over seventy by then and lived alone as a pensioner, was one of our most revered villagers. Asked to speak at meetings to air grievances against the old order, he invariably stripped to the waist onstage to show his scars.","In old age, when he was seventy years old, he was alone on his own. He was a respected figure of the village, and whenever someone complained about something, he would be called up to speak. Every time they complained, he would peel off his clothes revealing a scar.","Old Geng was a seventy-year-old man, alone and single, who enjoyed the welfare grant of ""five resides,"" given to poor elders and retired men on镇政府的德高望重的人物。 Whenever they met for恳职大会，他就要扒了衣服，露出了疤。","Lao Ge was seventy years old then, alone, enjoying ""Five Guarantees"" benefits, a person of great respect in the village, he would always be asked to speak at the meeting. At each meeting, he would take off his shirt, exposing a scar.","Old Geng had been alone all his life, enjoying five-star benefits as a village veteran. Every month he attended a meeting where he was required to complain. Every time, he took off his shirt, revealing the rows of scars covering his back.","At that time, Old Teng was seventy years old and had no family or friends, enjoying the ""old age pension""待遇，and was highly regarded by villagers who were respected for their wisdom and character. Whenever he heard about his fellow villagers' complaints at the complaint meeting, he would go up on stage and complain bitterly.","Old Geng was a seventy-year-old man, single-registered absent-mindedly on benefit land, a very high-sounding name in the village, and whenever every monthly hardship speech大会上他上台演讲,剥光衬衫露出个疤。","Old General was seventy years old then, alone, enjoying ""Five Guards"" benefits, he was a person of high moral character in the village. He had to speak at every meeting where people complained, each time he would remove his shirt and show a scar.","Old Geng had fallen on hard times and was enjoying full benefits as a 'five-star' beneficiary of the village. Every month he went to see the county governor, who would hear him complain about his lot. Always bare-chested, he exposed the scars that dotted his upper arm.","At that time, he was eighty-seven years old, alone on his own, enjoying “five-star待遇”， a figure of great honor among the villagers, who often attended the complaint meeting. Whenever he had trouble to tell his story, he would have him strip off his clothes and expose the scars on his chest.","Old Geng was a seventy-year-old man, single-occupancy alone, a member of the five-generations reduced pensioners of the village. When every meeting for the five-reward communal amnesty took place, he was given to speak, and each time, they took off his shirt to reveal a scar.","Old Jin was seventy years old then, living alone, enjoying ""five guarantees"" benefits, a person of high moral standing in the village, every time he complained at meetings had to go up on stage to complain. Every time he complained, he would have to take off his shirt, expose a scar.","Old Geng had already be over seventy years old. He lived alone, enjoying full benefits as a 'five-star veteran,' and every month he attended a meeting where he was required to read out a limited selection of errors he'd committed. Every time, he took off his shirt, revealing the rows of scars that dotted his upper body."
我走过去，告诉他，这牛被毒蛇咬了，不能干活。,I went over to tell him that the buffalo had been bitten by a poisonous snake and couldn't work.,I walked over and told him that the horse had been bitten by a snake. He couldn’t work.,I walked over to告诉他：那头牛已经被毒蛇咬住了。不能再干活了。,I walked over and told him that the ox had been bitten by a snake and could not work any longer.,I went over to tell him that the bull had been bitten by a snake and couldn't do any work.,I walked over and told him that this horse was poisoned by a snake. He cannot work today.,I walked over to him and told him that the snake had killed the buffalo and asked him to stay off of it.,I walked over and told him that this bull had been bitten by a snake and could not work.,"I went over to him, told him that the buffalo had been bitten by a snake and was unable to work.",I approached him and said that the horse had been poisoned by a snake. I could not work with it.,I walked over to him and told him that the camel had been poisoned by a snake. He couldn't work today.,I walked over and told him that the bull had been bitten by a snake and could not work.,I went over to tell him that the buffalo had been bitten by a snake and couldn't work.
这天下午，程先生提前下班，买了菜到王琦瑶处，两人将孩子哄睡了，便一起忙了起来，一边忙一边说话。,On the afternoon of the dinner Mr. Cheng left work early to pick up the food for that evening. They put the baby to bed early and chatted as they cooked.,"This evening, Mr. Chen bought vegetables at Ouyang Guoran's house and then took them home together. He was busy talking as he prepared food for the children.","On the way home, Mr. Cheng took some soup to warm Wang Qiyao's child while she slept; they both lay down together, talked as much during their dinner time as they could manage, and then changed into clothes and headed out of the apartment building.","That afternoon, Mr Cheng left work early, bought some groceries at Wang Qiuyue’s place, and went back with them to take care of their son until they fell asleep together. They talked as they worked.","Mr. Cheng left work early that afternoon and bought some groceries on his way to Wang Qiyao's. They divided up the chores while they waited for the baby to fall asleep—cooking, cleaning, and talking.","On this afternoon, Mr. Cheng was already home after a long day at work. He bought some food for his wife, Wang Guo'er, when he arrived home. They went to sleep together and started working. They talked while they were working.","On the way home, Cheng Yuhuang took early off from work and, getting a bit ahead of schedule, bought some groceries for his family and took the two-year-old out on the walk. Once there, he divided his time between preparing dinner and talking to the child; as they spoke, he spoke.","That afternoon, Mr Cheng left work early and went to Wang Qi'er’s house with some food. They took care of the children and then got busy together while talking.","Mr. Cheng arrived home early that afternoon and, with a bottle of wine in one hand and a loaf of bread in the other, went to Wang Qiyao's place. They took care of the child while they chatted.","This afternoon, Mr. Chen left home early and bought some food at Mrs. Wang's house. He took his daughter to bed, so he started working on it. While working, they talked together.","That afternoon, as soon as Shanghai offered up her hourly production of business activity, which was空前的活跃，程先生却提前下班，买了一篮子菜回家，给孩子喂过夜后，再一并交给王琦瑶去做事。然后就各干各的事，一边干一边说。","That afternoon, Mr Cheng left work early and went over to Wang Qi'eryao's with some food for the kids, then they both got busy cooking while chatting.","Mr. Cheng left work early that afternoon, bought some groceries, and arrived at Wang Qiyao's place just in time to help Hong Xiyaobo get her baby asleep. While they were busy tidying up and talking, the baby fell asleep too."
