chinese,english,unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned),unsloth/Qwen2-7B-Instruct-bnb-4bit,unsloth/Qwen2-7B-Instruct-bnb-4bit(finetuned),gradientai/Llama-3-8B-Instruct-Gradient-1048k,gradientai/Llama-3-8B-Instruct-Gradient-1048k(finetuned),unsloth/Qwen2-7B-Instruct,unsloth/Qwen2-72B-Instruct-bnb-4bit,unsloth/Qwen2-7B-Instruct(finetuned),unsloth/mistral-7b-instruct-v0.3,unsloth/mistral-7b-instruct-v0.3(finetuned),unsloth/Qwen2-72B-Instruct-bnb-4bit(finetuned)
奶奶那年身高一米六零，体重六十公斤，上穿碎花洋布褂子，下穿绿色缎裤，脚脖子上扎着深红色的绸带子。,"That year Grandma was five feet four inches tall and weighed about 130 pounds. She was wearing a cotton print jacket over green satin trousers, with scarlet bands of silk tied around her ankles.","In her senior year, she was six feet tall, weighing 60 pounds, and wore a pair of loose white apron pants with green stockings. Her feet were adorned with red brocade belts.","Grandma was a height of one six zero and a weight of sixty kilograms; she wore a dotwise smile at her face, dressed in a floral slipover, and walked around in a pair of green full-length pants made of solid blue silk.","Grandma was 160cm tall and weighed sixty kilograms when she was that age. She wore a blue floral cotton dress on top, green silk trousers below, and red silk bandage around her ankles.","That year she was one meter sixty tall and sixty kilograms. She wore a pink flowered cotton shirt underneath her yellow silk skirt, and a green silk pant bottom with a red silk knot around her ankle.","That year, my grandmother was 1.6 meters tall and weighed 60 kilograms. She wore a floral cotton blouse on top and green silk trousers below. There were deep red silk ribbons tied around her ankles.","That year Grandma was six feet tall and weighed sixty kilograms, so she topped the dress with a striped foreign-cloth blouse and wore green satin pants, fastening her ankles with red ribbon.",Grandma was one meter six tall and weighed sixty pounds. She wore a piece of torn flower-patterned cotton cloth over her upper body and green silk pants. She had a deep red silk ribbon tied around her ankle.,"She stood one meter sixty, and weighed sixty kilograms. She wore a frayed cotton smock over a green satin skirt, and a red sash was tied around her waist.","That year, my grandmother stood at 1.60 meters tall and weighed 60 kilograms. She wore a floral cotton blouse on top and green silk pants on bottom. Red silk ribbons were tied around her ankles.","That year, Grandma was 1.6 meters tall and weighed sixty kilograms. She wore a blouse of printed cotton fabric over green satin trousers, with a dark red silk ribbon around her ankle.","That year Grandma was six feet tall and weighed sixty kilograms. She wore a flowered cotton shirt over a green satin pair of pants, with a deep-red silk ribbon tying her ankles.","Grandmother, that year, was 1.6 meters tall, weighed 60 kilograms, wore a blouse with scattered flowers made of cotton fabric, wore green trousers, and had a red silk band on her ankles.","She was five feet six inches tall, and weighed sixty pounds. She wore a pink-and-white patterned gown over a pair of green pants, and a deep-red silk band around her ankle.","That year Grandma was sixty centimetres tall and weighed sixty kilograms. She wore a floral print dress over green silk trousers, with red silk garters around her ankles."
奶奶身上汗水淋漓。,Grandma was drenched with sweat.,The sweat runs down her back.,Dightingly soaked headlong with sweat.,Grandmother's sweat was dripping from her body.,She sweat all over her body.,Grandmother was drenched in sweat.,Grandma was drenched with sweat.,Grandma's body was drenched in sweat.,Grandma was sweating all over.,Grandma was drenched in sweat.,Grandma was drenched in sweat.,Grandma was drenched with sweat.,Grandmother is sweating profusely.,A thin film of sweat covered her body.,Grandma was drenched with sweat.
一声枪响。,A shot rang out.,A shot was fired.,A gunshot.,A gunshot.,A shot.,A shot rang out.,Another gunshot.,One gunshot.,A shot was heard.,A gunshot rang out.,A gunshot rang out.,A shot.,One gunshot.,One shot.,A shot rang out.
可这个笨蛋还来添乱，在我背上扑腾起来，让我放她下去。,"But the idiot picked that moment to give me trouble, flopping around on my back and demanding that I put her down.","The dumb pig keeps adding trouble, so I jump on his back and let her fall down with me.","But this dumb fox came back to add confusion to its previous one to squiggled her way down onto my back, while I had to help her下来。","This fool is getting on my back again, which makes me let her go down.",But this stupid one came back to cause more trouble. He fapped on my back until I let go of her.,"But this idiot was causing trouble, thrashing about on my back, insisting that I put her down.","But this idiotic devil didn't know when to quit, and kept squirming on my back, so I had to let her down again.","Can this idiot really come and make a mess, on my back and flap around, making me let her go?","But this idiot began to bump her head against me, making me feel even more miserable, so I had to let her go.","And yet this idiot came to cause trouble, thrashing around on my back, making me want to put her down.","But the silly girl started flailing around on my back, demanding that I put her down.",But this idiotic dolphin decided to complicate things by jumping onto my back and begging me to let her down.,"This idiot is causing more trouble, jumping around on my back, let him release her.","But this stupid applecore had to go and add to my troubles by wriggling and struggling to get down from my back, thereby making it even harder for me to put her back in her place.","But this idiot added to my distress; she began to writhe on my back, demanding that I let her down."
程先生也不与她争辩，两人在附近找了个小饭馆，坐进去，点好菜。,"Mr. Cheng refused to argue with her. They found a small restaurant nearby, went in, and ordered a few dishes.","Mr. Cheng did not argue with her either, and they sat at a small restaurant nearby, ordering a dish.",Mr. Cheng took the opportunity to argue with her but insisted that they go to a small restaurant near here and get something; soon they had everything ready.,"Mr Cheng did not argue with her either, so they found a small restaurant nearby, sat down, ordered some food, and then began eating.","Mr. Cheng did not dispute this; they found a small restaurant nearby, ordered their dishes, and sat down.","Mr. Cheng did not argue with her, and they found a small restaurant nearby, sat down, and ordered their food.","Mr. Cheng made no effort to correct her. They found a small restaurant nearby, sat down, and ordered some dishes.","Mr. Cheng did not argue with her, and the two of them found a small restaurant nearby and sat down. They ordered their meals.",Mr. Cheng didn't bother to explain; the two of them went to a nearby restaurant and ordered some food.,"Mr. Cheng did not argue with her, instead, they found a small restaurant nearby, sat down, and ordered their meals.","Mr. Cheng didn’t argue with her. The two of them found a small restaurant nearby, went in, and ordered their dishes.","Mr. Cheng did not bother to argue with her. They found a small restaurant nearby, sat down, and ordered some dishes.","Mr. Chen did not argue with her. The two found a small restaurant nearby and sat inside, ordering their food.",Mr. Cheng made no attempt to convince her otherwise. The two of them found a small restaurant nearby and went in to order a meal.,"Mr. Cheng did not argue with her. They found a small restaurant nearby, went inside, and ordered their dinner."
但是我偏说，陈清扬就是破鞋，而且这一点毋庸置疑。,"Yet I insisted on saying that Chen Qingyang was damaged goods, and that this was beyond question.","But I said that Chen Qingyuan was a shoe-breaker, and this is certainly true.","However, I insisted that Chen Qingyang was damaged goods and that point could not be disputed.",But I said that Chen Qingyang is a slut and this point is irrefutable.,"But I said Chen Qingyang was damaged goods, and this fact was indisputable.","But I insisted that Chen Qingyang was a slut, and there was no doubt about it.","But I insisted that Chen Qingyang was damaged goods, and this, I said, was beyond doubt.","But I insist, Chen Qingyang is definitely a broken shoe, and there is no doubt about it.","But I insisted that Chen Qingyang was damaged goods, and there was no doubt about it.","But I insisted that Chen Qingyang was a slut, and there was no doubt about it.","But I insist that Chen Qingyang was a whore, and there's no room for doubt about this.","But I insisted that Chen Qingyang was damaged goods, and this was non-negotiable.","However, I would say that Chen Qingyang is a beggar, and this point is not in doubt.","But I insisted that Chen Qingyang was damaged goods, and that was a hard fact that couldn't be denied.","However, I insisted that Chen Qingyang was damaged goods, and there was no doubt about it."
陈清扬坐在椅子上听着风声，回想起以往发生的事情，对一切都起了怀疑。,"Sitting in a chair and listening to the sound of the wind, Chen Qingyang would look back at what happened and begin to have doubts about everything.","Yehong Yuan sits on a chair listening to wind sounds. He recalls all that had happened previously, questioning everything.","Chen Qingyang sat in her chair listening to the wind as if living in a cave, wondering whether everything was true.",Chen Qingyang sat in a chair listening to the wind and recalled what had happened in the past. She began to doubt everything.,"Chen Qingyang sat on the chair listening to the wind and relived all the things that had happened before, questioning everything.","Chen Qingyang sat in a chair, listening to the wind and recalling past events, thus casting doubt on everything.","As Chen Qingyang sat listening to the wind, she began to doubt everything that had happened.","Chen Qingyang sat on a chair, listening to the wind, and began to doubt everything that had happened in the past.","As Chen Qingyang sat and listened to the wind, she began to doubt everything that had happened to her.","Chen Qingyang sat in a chair, listening to the wind and reflecting on past events, which led her to question everything.","Chen Qingyang, sitting in his chair and listening to the wind, began to doubt everything as he recalled the events of the past.","As Chen Qingyang sat listening to the wind, she began to doubt everything that had happened.","Chen Qingyang sat on a chair listening to the wind, recalling past events, and harbored doubts about everything.","As Chen Qingyang sat in her chair, listening to the winds of change, she began to doubt everything that had ever happened.","As Chen Qingyang sat in her chair listening to the wind, she recalled all that had happened, and she began to doubt everything."
她的光艳照人里有一些天真，也有一些沧桑，杂糅在一起，是哀绝的美。,"There was an innocence about her heavy makeup and also a certain world-weariness, blended together to create a desolate kind of beauty.","There is something beautiful in her beauty, some naive, some aged, mixed together, a melancholic beauty.","Her radiance was quaint, yet a bit tattered; mixed together, it represented an unutterable tragedy.","Her radiant beauty is mixed with some innocence and some sadness, which makes her a beautiful tragedy.","The brilliance of her light dazzles yet hints at an innocence combined with沧桑. Mixed together, it produces a beautiful madness.","There was a touch of innocence mixed with a sense of life's weariness in her radiance, a blend that made her beauty all the more poignant.","There was a naiveté about her freshness and beauty, but there was also a sense of suffering, which made her beauty heart-wrenching.","Her light shines with both innocence and weariness, intertwined in a beautiful melancholy.","In the splendor of her beauty lay a trace of innocence and a trace of age, combined into a sorrowful beauty.","There was a hint of innocence amidst her radiant beauty, alongside the weariness of life's experiences. These elements, intertwined, created a profound and heart-wrenching beauty.","There was a certain innocence in her radiant beauty, as well as some traces of hardship, blended together to form a heart-wrenchingly beautiful sight.","There was a naiveté in her beauty, but there was also a sense of loss; these two mixed together formed a rare beauty.","Her beauty, shining among people, has a touch of innocence and a hint of world-weariness, blending together, is a poignant beauty.","Her beauty had a bit of naïveté about it, as well as some cynicism, and the two mingled to create a peculiar beauty that was at once heartwrenching and uplifting.","There was a mixture of innocence and world-weariness in her radiance, which produced a kind of sorrowful beauty."
海老公又道：“你机缘挺好，巴结上了皇上，本来嘛，也可以有一番大大的作为。,"'You've got a lucky streak,' the old eunuch continued. 'Getting yourself into the Emperor's graces like that—it could have been very useful.","The next day, Mr. Hai was again saying that he had a good chance of getting what he wanted, as long as he could get the favor of the Emperor.","Well, your luck is very good,' said Old Hai, 'and you must have great prospects if you did as far as being appointed to the King's service. And anyway—what else could you have要求得到的呢?","Hai guo ren said, ""Your fortune is good, you’ve caught the right person and could do some great things.""","You had a lucky start,' said the old eunuch. 'Getting close to the Emperor must have been a good thing. You could have done anything with that power of yours.","The Sea Old Man then said, ""Your luck is quite good; you managed to win favor with the emperor. Normally, you could have achieved great things.""","You're a lucky man, ' said the old eunuch. 'Becoming friends with the Emperor wasn't hard for you. With a bit of luck, you could have gone a long way.","The old man said, ""You have a good fate, and you've managed to win over the emperor. With that, you could have a great impact. What more could you ask for?""","'You're in a good position now,'said the old eunuch. 'Influential people are always looking for friends like you.","The Sea Old Man continued, ""Your luck was good, you managed to flatter the emperor. Originally, you could have achieved great things.""","Hai Gonggong continued, ""You have a good stroke of luck, having ingratiated yourself with the Emperor. Indeed, you could have achieved something great.""","You're quite lucky,' said the old eunuch. 'Basing yourself with the Emperor was a smart move. Most people who do that sort of thing usually get themselves made fairly important.","The crab said again: ""Your connections are quite good, you've managed to influence the emperor. In that case, you could have a significant role.""","You're in luck this time,' said the old eunuch. 'To be sure, if you'd been a little more successful in your calculations, you might have got a bigger share.","You've been very lucky,' said the old eunuch. 'Fancy getting yourself a patron like the Emperor! You could have done great things with an opportunity like that."
后来我遇上了勒都。 他告诉我说，他们把那条河岔里的鱼都捉到手了。,"After a while, I ran into Le Du, who told me that they had caught all the fish at the fork of the rivers.","Later, I met Léda. He told me that they had caught all of the fish in the river's fork.",Later I ran into Le Du. He told me that they'd caught all the fish along the crossroads and sent them to the market.,Later I met Lude. He told me that they had caught all the fish in the river branch.,Later on I ran into Le Du. He told me they had all caught fish from that river fork.,"Later on, I met Lede. He told me that they had caught all the fish in that river branch.",Later I met Le Du. He told me that they had caught all the fish in the river fork.,"Later, I met Lè Dū. He told me that they caught all the fish in the river bend.","Later on I ran into Le Du, who told me that they had caught all the fish in the fork of the rivers.","Later on, I met Le Tu. He told me that they had caught all the fish in that river branch.",Later I met Lerdu. He told me that they had caught all the fish in that tributary.,"Later I met Le Du, who told me that they'd caught all the fish in those rivers.","Later, I met LeDu. He told me that they had caught all the fish in the fork of the river.",Later I ran into Le Du. He told me that they had netted all the fish in the fork of the rivers.,Later I ran into Le Du. He told me that they had caught all the fish in that fork of the river.
但这些细节终不那么真实，浮在面上的，它们刺痛了老克腊的心。,"But none of those details looked real; they floated on the surface, piercing Old Colour's heart.","But these details are not so real; they hang there on top, piercing his heart with them.","But this kind of detail floats on top of everything, sharpens his heart with its刺痛。","But these details don't hold up, and what's on the surface stings old Krackle.","But these details don't feel quite real, and the surface-lying ones hurt Old Colour deeply.","But these details were not quite real; they lay on the surface, and they pricked old Kla's heart.","But these details never quite rang true, floating on the surface, and they hurt Old Colour.","But these details are not entirely true, they hurt Old Kekra's heart.","But the details refused to be completely real, hovering above the surface; they pricked Old Colour's heart.","But these details were not real enough, they were superficial, and they stabbed at Ole Christiansen's heart.","But these details, superficial as they were, struck Old Knives to the heart.","But the details were not real, floating on the surface; they pained Old Colour.","These details are not entirely true, they are superficial, and they pierced old Clark's heart.","But these details were not entirely convincing; they floated on the surface, failing to pierce Old Colour's heart.",But these details lacked a certain reality; they floated on the surface and stabbed Old Colour's heart.
那男孩问道：“你叫什么名字？”,'What's your name?' asked the boy.,"The boy asked, ""What is your name?""","He asked, What is your name?'","The boy asked, ""What's your name?""",What's your name?' the boy asked.,"The boy asked, ""What is your name?""",What's your name?' the boy asked him.,What is your name?,'What's your name?' the boy asked him.,"The boy asked, ""What is your name?""","The boy asked, ""What's your name?""",What's your name?' the boy asked her.,"The boy asked: ""What is your name?""",What's your name?' the boy asked him.,What's your name?' said the boy.
吃拤饼的人眼里跳出绿火花，一行行雪白的清明汗珠从他脸上惊惶地流出来。,"Green flames seemed to shoot from his eyes, and crystalline beads of sweat scurried down his terrified face.","A person who eats a lump of dough sees green sparks flying out of his eyes, while white, creamy tears stream from his face as they run down his cheeks.",The person eating fistcakes eyes闪烁火花，一串串雪白雪白的雪里透着一串串深思熟虑的汗涓涓降生到人间的子女们涌上桌来。,"People who ate doughnuts looked out of their eyes like green fireflies, and tears of white snow flowed from their faces with fear.","A man eating fistcakes looked at him in surprise, the green light of astonishment flashing in his eyes and clear, fear-filled snowflake tears welling in his cheeks.","The eater of kaushi bing burst with green sparks, as beads of frightened, pure white sweat trickled down his face.","Eyes glittering with envy, the man watched a series of pale sweat beads escape in alarm from the man's face.","In the eyes of the person who ate the balm, a green flame burst out, and row after row of clear white sweat beads flowed out of his face in surprise.","A glob of greasy dough popped in his mouth, and a string of clear, icy sweat jumped out of his shock-wrinkled forehead.","The man eating the kaushi bread had green sparks in his eyes, and beads of frightened, pure white sweat trickled down his face.",Green sparks shot from the man’s eyes as he crunched on his pancake. Terrified beads of pure white perspiration streamed down his face.,"Eyes glowing with delight, the man ate another fistcake, as beads of clear sweat ran down his face.","The person eating the bun has green sparks flying out of his eyes, and a row of snow-white perspiration beads, startled, flow from his face.","Eating the fistcakes caused a green afterglow to appear in the eyes of the soldiers, who sweated heavily, their faces glistening with countless snowy beads.","Green sparks leaped from the eyes of the man eating the fistcake, as rows of pure, crystal beads of sweat flowed down his panic-stricken face."
众人只得带进那道士来。,The servants were obliged to bring the Taoist into the bedroom.,Everyone has to bring in that priest.,The众人只好带了进去。,All the people had to bring in the道士.,"And so, having exhausted all other means of persuasion, they brought the Taoist into their quarters.","With no choice, everyone brought the Taoist in.",They were obliged to admit the Taoist.,People had to bring in the doctor.,The three men were obliged to go and fetch the Taoist.,"With no other choice, everyone brought the Taoist in.",The people had no choice but to bring the Taoist in.,They were obliged to bring the Taoist in.,Everyone had to bring the Taoist priest inside.,They had no choice but to bring the Taoist in.,The bearers accordingly carried the Taoist in.
“我看没必要在这个警察身上浪费时间。”,"'I don't think we need to waste time on this policeman,'",I don't see why I should waste time on this policeman.,"I don't think I want to waste time on that police officer,'","I don't see any reason to waste time on this cop.""",I think it's unnecessary to waste time on this police officer of mine.',"I don't think we need to waste time on this cop.""",I don't think we need to waste time arguing with the police.',"""I don't need to waste my time on this cop.""",'I think it's a waste of time to mess with this cop.',"I don't think it's worth wasting time on this police officer.""","I see no need to waste time on this police officer.""",I don't think we need to waste time on this cop.',"I don't see the need to waste time on this police officer.""",I don't think it's necessary to waste time on this cop.',I don't think it's necessary to waste time on this policeman.'
老克腊走在马路上，有风迎面吹来。 是从楼缝中挤过来的变了形的风，他看上去没什么声色，心却是活跃的，甚至有些歌舞的感觉。,"As Old Colour walked down the street, the wind blowing against his face was a draft squeezed through the space between two buildings. He may have looked calm on the surface, but his heart was vibrant, almost dancing with joy.","Old Quang lay on the road, facing a gust of wind. It was from the cracks in the wall that he had come across. He looked unobtrusive, and his heart was lively even though it seemed to be dancing.","As he walked along the road前方的窗户玻璃窗子里吹来的风, it was no different from the distorted wind that rushed outside through the broken windows of a building. He did not seem like much; though he seemed lively and alive, one could sense the feel of a dance wind blowing through his soul.","Old Cray walked down the street with a wind blowing across him from above. It was a wind that had come through the cracks of buildings, distorted by wind currents. He looked calm, but his heart was active, even dancing.","As he walked along the street, Old Colour吸着天上的风, a transformed breeze squeezed through the cracks in the buildings. He wasn't make or model, but even more important, he had no self-consciousness; on the contrary, he felt something approaching ecstasy.","Lao Ke La walked down the street, where a breeze met him head-on. It was a distorted wind, squeezed through the gaps between buildings, appearing unremarkable on the surface but with a lively heart, almost as if it had a sense of dance and rhythm.","La Kre had to strain to hear them over the rush of air on his face, which had been deformed as it squeezed through the cracks between the buildings. The street was alive with activity, as if the buildings were getting ready to dance.","The old man walked along the street, and the wind blew towards him. It came from the gaps in the buildings and had changed its shape. He looked like he had no expression on his face, but his heart was lively, almost as if he had a sense of dancing.","Old Colour walked down the street, facing the wind, which had picked up speed as it blew through the gaps between the buildings. The wind was distorted by its passage through the city sky, but Old Colour's heart was alive with an almost festive energy.","Lao Ke La walked down the street, feeling a breeze against his face. It was a distorted wind squeezed through the gaps between buildings, appearing quiet on the surface but lively within, almost imbued with a sense of dance and rhythm.","Lao Kele walked down the street, with wind blowing in his face. It was wind that had squeezed through the gaps between buildings, distorted in form. He appeared nonchalant, but his heart was active, even with a sense of song and dance.","As Old Colour walked down the street, a wind picked up, the kind that slips through the cracks between buildings and is deformed along the way. He was quiet enough, but his heart was dancing, even feeling like singing.","Old Clark is walking on the road, a wind blows towards him from afar. It's a wind that squeezes through the gaps in the buildings and changes shape. It doesn't seem to have any sound or color, but his heart is lively, even giving a sense of a dance or a song.","As Old Colour walked down the street, the wind blew directly towards him. It was a wind that had squeezed its way out through the cracks in the buildings around him: you could see nothing of it, yet it made his heart beat faster, even giving him the sensation that he was dancing and singing.","Old Colour walked down the street and a wind deformed by having been squeezed through the cracks in the buildings blew in his face. Although he appeared indifferent, his heart was active, even jubilant."
一见宝玉在前，便站住了，笑道：“二叔叔在家里呢，我只当出门去了呢。”,"Seeing his uncle ahead of him, he stood politely to attention and greeted him cheerfully: 'Hello, Uncle. I didn't know you were at home. I thought you'd gone out.'","Seeing that Ye Bing was standing there, he said, ""Your uncle is at home, so I think you went out.""","Misty took refuge opposite to Bao-yu where she stopped, and with a smile gave the前者一个白眼。","Since I saw that宝玉 was ahead of me, I stopped and said, ""I thought my uncle was out.""","As soon as she saw Bao-yu in front of her she stopped short and smiled delightedly, recalling him sitting at home waiting for her: 'Cousin! I thought you had gone out!'","Upon seeing that it was Yu Baoyu in front, she stopped and said with a smile, ""Uncle Number Two is at home, I thought he had gone out.""","As soon as she saw Bao-yu in front of her, she stopped walking and greeted him with a smile: 'Oh, there you are, Uncle! I thought you had gone out.'","As soon as she saw the precious jade, she stopped in her tracks and said, ""My second uncle is at home, so I thought I would go out.""","On seeing Bao-yu in front of her, she stopped and laughed: 'It's you, Uncle! I thought you had gone out.'","Upon seeing that it was Yu Baoyu in front, she stopped and said with a smile, ""Uncle Number Two is at home, I thought he had gone out.""","Seeing Baoyu ahead, she stopped and said with a smile, ""Second Uncle is at home. I thought you had gone out.""","As soon as she saw Bao-yu approach, she stopped smiling at Once and addressed him with a little curtsey: 'I thought you had gone out, Uncle. I am so sorry.'","Upon seeing Bao Yu in front, he stopped and said, ""Second Uncle is at home, I thought I would go out.""","As she caught sight of Bao-yu in front of her, she stopped and smiled at him: 'I thought you might be at home today, so I came to see you. I'm off now to visit Aroma at her place.'","She stood respectfully aside when she caught sight of Bao-yu. 'I didn't know you were here, Sir,' she said. 'I thought you had gone out.'"
正想着，只听里面隔着纱窗子笑说道：“快进来罢！,A laughing voice addressed him from behind one of the silk gauze casements: 'Come on in!,"Thinking of it, I heard inside the window laugh out loud: ""Come in!","As he sat staring at her open window, a voice behind him announced their arrival with a laugh, 'Just come in!","While thinking about it, I heard a laugh from inside the window said, ""Come in quickly!""","As she was thinking this, he could hear a voice inside the curtain-cased window asking that he should hurry up.","As she was thinking, she heard laughter from inside through the mosquito netting: ""Come in quickly!""",Just at that moment a voice behind the gauze window shouted: 'Come in quickly!',"""Come in quickly!""","As he was thinking this, a voice came to him through the gauze window: 'Come in, please!'","As she was thinking, she heard laughter coming from inside through the mosquito netting: ""Come in quickly!""","Just then, a voice laughed from behind the gauze window: ""Come in quickly!""","As she was thinking this, a voice sounded through the gauze window laughingly, 'Come in quickly!","Thinking, only hearing from behind a gauze window, ""Come in quickly!""","As he thought this, the curtain lifted a little and a voice said with a laugh, 'Hurry up!","As he stood there musing, a voice inside the room laughed out to him through the gauze of the window: 'Come in, quickly!"
鸡巴！,You pricks!,A Cockroach!,Hahaha!,FUCK!,Fuck you!,D**n!,You prick!,"I am not able to provide any personal opinions or judgments. However, I can translate the given chinese text into english as follows: ""chicken!""",Fucking shit!,D**n!,Dick!,阴囊！,Chicken Feet!,Cock!,Prick！
那十三人大喜，飞身上马，向前疾奔。,"The thirteen men, with rapturous expressions on their faces, dashed to the ready-waiting horses, jumped into the saddle, and galloped away.","That thirteen of them were delighted, and they flew on horseback forward with great speed.",The three Great Duchesses were on horseback and leaped forward at the same time.,The thirteen men were delighted. They leaped onto their horses and galloped forward.,"This is wonderful!' said the thirteenth rider, who leaped astride his horse and set off at a tremendous pace.","The thirteen men were overjoyed, leaping onto their horses and galloping forward with great speed.","The thirteen riders leapt to their horses and galloped off, at top speed this time.","Thirteen people were overjoyed, and they rode their horses forward at a gallop.",The thirteen horsemen were overjoyed. They leaped on to their horses and galloped off in the direction of the gate.,"The thirteen people were overjoyed, leaping onto their horses and galloping forward with great speed.",The thirteen men were overjoyed as they leapt onto their horses and galloped forward.,The thirteen riders leapt from the ground to the horses' backs and set off at tremendous speed along the road.,"The thirteen people were very happy, leaped onto horses, and rushed forward swiftly.",The thirteen men leaped onto their horses and galloped forward.,The thirteen horsemen galloped forward in high glee.
医院里没人听说过王二，更没人知道他上哪儿去了。,"No one in the hospital had ever heard of Wang Er, so nobody knew where he had gone.","In the hospital, no one heard of Wang Bo, and no one knew where he had gone.",There was not a doctor in the hospital who knew where Wang Er went off to.,"No one at the hospital had heard of Wang Two, and no one knew where he was.",No one at the hospital had heard of Wang Er or knew where he had gone.,"No one in the hospital had ever heard of Wang Er, nor did anyone know where he had gone.",No one in the hospital had heard of Wang Er or knew where he had gone.,"No one at the hospital had ever heard of Wang Er, and no one knew where he had gone.","No one at the hospital had heard of Wang Er, let alone where he went after he left.","No one at the hospital had heard of Wang Er, nor did anyone know where he had gone.","No one at the hospital had heard of Wang Er, let alone knew where he had gone.",No one in the hospital had heard of Wang Er or knew where he had gone.,"Hospital staff have not heard of Wang Er, and no one knows where he went.",No one at the hospital knew about Wang Er or where he had gone.,"No one at the hospital had ever heard of Wang Er, let alone knew where he had gone."
我听了这话，几乎要朝他肚子上打一枪。,"When I heard this, I felt the urge to fire at his belly.",I heard that. I almost wanted to shoot him with a gun.,Closely he was preparing to shoot an arrow through his stomach.,I almost shot him in the stomach hearing that.,The sight and sound drove me to the edge of a gunfight.,"Upon hearing this, I almost wanted to shoot him right in the stomach.",I almost fired on him right then.,I almost wanted to punch him in the stomach after hearing what he said.,I was about to shoot him in the belly.,"Upon hearing this, I almost felt like shooting him in the stomach.","Hearing this, I was so angry I nearly shot him in the gut.",For a moment I really wanted to shoot him in the belly.,I almost wanted to shoot him in the stomach after hearing that.,I was almost ready to take a shot at his belly.,"After hearing this, I almost wanted to shoot him in the belly."
假如当初我退回山上去，这样的事就会发生。,"If I had returned to the mountains then, that would have happened.","If I had returned to the mountain, this would have happened then.","If I had returned to the mountain then, such things would have happened.","If I had stayed on the mountain back then, such a thing would have happened.","If I had gone back to the mountain world, such things would have happened.","Had I gone back to the mountains then, such a thing would have happened.","If I had gone back to the mountains then, such things would have happened.","If I had gone back to the mountain earlier, this situation would have occurred.","If I had gone back to the mountains then, such a thing would have happened.","If only I had gone back to the mountains then, such a thing would have happened.","If I had gone back up the mountain that day, this is what would have happened.","If I'd gone back to the mountains the way I'd first wanted, such things would have happened.","If I had gone back to the mountains, that would have happened.","If I had returned to the mountains then, such things would have happened.","If I had gone back to the mountains at that time, something like that would have happened."
一时贾家众人齐来吊问。,The various members of the Jia family all came in due course to offer their condolences.,"A few minutes later, the entire family gathered to pay their last respects.",At this moment all the members of the Jia family came down to pay a visit to Jia Huan.,"At that time, all of the Jia family members came to inquire about him.","The members of the Jia family arrived on site soon after, starting a course of mourning for them which continued until the funeral.","At the time, all the members of the Jia family came together to pay their respects and inquire about the situation.","Soon after, members of the Jia family came round to inquire about her health.","At that moment, the entire Jia family came to pay their condolences.",Soon the whole of the Jia family came running to see.,"At the time, the entire Jia family came together to offer condolences and问候.","At once, all the Jia’s came to offer their condolences.",Soon members of the Jia family began arriving to console them for their loss.,The entire Jia family has gathered to inquire about the coffin.,The rest of the family came in a body and asked him about it.,The news of his death brought a crowd of anxious relatives to his bedside.
尹兄弟后继有人，青木堂有主儿了。”,It gives Brother Yin a successor and the Green Wood Lodge a Master.',"Yi's brother will have a successor, and there is a man of honor at Qingmu Temple.""","Yu, younger brother, will fill the place left by Jia Huan's son.'","Yin has a successor after him; there is now someone to run the Chingwood Hall.""",There's a new Young Redwood in town. He's got more nerve than me to go fighting with you!',"Brother Yin has a successor, the Green Pine Hall has a master now.""","Now that you have a son, Brother Yin, the torch has been passed on.'","There is someone to carry on after Yinn brother, and there is a master at the Qing Mu Tang.",But there are others after him: they have found a master for the Yan wood lodge already.',"Brother Yin has a successor, the Green Pine Hall has its master now.""","The Yin brothers have a successor, and the Green Wood Hall now has its head.""","Well, at least there's hope for the next generation. There's a new leader for the Green Wood Lodge.'","The text translates to: ""Yin brothers have an heir, the Greenwood Hall has a master.""","You have a son, Brother Yun? Congratulations! That's really nice!'","Well, at any rate the Green Wood Lodge will have a new Master now.'"
