chinese,english,unsloth/Qwen2-0.5B-Instruct-bnb-4bit-run-1,unsloth/Qwen2-0.5B-Instruct-bnb-4bit-run-1(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit-run-1,unsloth/Qwen2-1.5B-Instruct-bnb-4bit-run-1(finetuned),unsloth/Qwen2-0.5B-Instruct-bnb-4bit,unsloth/Qwen2-0.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit,unsloth/Qwen2-1.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-0.5B-Instruct
就在这儿谈罢。,Then let's talk.,Here is our final round.,And thus our first meeting took place.,Let's talk about it here.,Let's finish our discussion here.,This is it.,And now ends this diatribe on the most trivial a question.,Let's talk here.,How about we discuss this now?,Here's our last word.
海老公道：“这小娃娃叫什么名字？,'What was the little fellow's name?,How can I help you?,"This little one,' he said. 'What is his name?","Sea cucumber said, ""What is this little child's name?""",And what is her name?' said the old eunuch.,"Can you tell me what name this little boy is called?""",So what's his name?' said the old eunuch.,Frigatefish: What's the little boy's name?,And what is her name?',"His Excellency The King of Sweden said: ""What is his name?"
空空道人听如此说，思忖半晌，将这《石头记》再检阅一遍。,"For a long time Vanitas stood lost in thought, pondering this speech. He then subjected the Story of the stone to a careful second reading.","The monk thought for a while, then examined this novel again.","Trinket studied the document for a moment, and when he could no longer decipher it, he returned it back to the hand which had collected it. 'I'll read it once more,' he said.","Wang Meng listened to this, thinking for a moment before re-examining The Stone Recorder again.","Hearing this, Vanitas pondered for a moment and went through the story once more.","Wu Zexue, who was listening intently, thought for a moment before he examined the play again.","As Trinket listened with rapt admiration to this sweeping account, he began to scan the last leaves and pages of The Story of the Stone, very purposefully.","Gao Gao Man listens to this saying for a while, then re-reads The Stone Recorder again.","Hearing this Shi-yin pondered for some minutes and repeated the story out loud, went through the Tale of the Stone Maiden again.","Wu An Hui listened to this, pondering for half a minute before he examined this book again."
“很好，”潘寒说着，转向了IT经理和国电公司领导，“你们二位，已经不适合这场聚会了，也不适合继续玩《三体》游戏。,"'Very good,' Pan said. He turned to the software company vice president and the power company executive. 'The two of you are no longer welcome at this meet-up, and you are no longer appropriate players for Three Body.","Good,"" Pan Chen said, turning his head towards IT managers and the chairman of National Energy Corporation, ""you two have no place here anymore, nor do you need to play The Three Body Game anymore.""","很不错,' Pan said to the computer hardware engineers and General Network Power Company executives, and towards the end, he turned to the two of them, 'you two can no longer play Three Body on your computers. And if you want to continue playing it, you should stop playing with each other.'","Very well,"" Pan Han said as he turned to IT manager and the head of the State-owned Electric Power Company. ""Both of you are no longer suitable for this gathering, nor is it appropriate for you to continue playing 'Three Body'.""","Good,' Pan said. He turned to the IT manager and the state electricity company executive. 'You two are no longer suitable for this party, nor are you suitable to play Three Body.","Good, ""Pan Chen said as he turned to IT managers and the CEO of NPE, ""you two have no place here anymore, nor should you continue playing The Three Body Problem.""","Well,' Pan said to the computer screensaver, and turned to the two副总经理中的一人, 'you two can't continue to play Trisolaran. You don't want to continue to play Trisolaran.","Great,"" Pan Han said as he turned to IT managers and company leaders of State Electric Company, ""Both of you are no longer suitable for this gathering, nor is it suitable for continuing with playing The Three-body Problem.""","Good,' Pan said. He turned to the technical director and the state electricity manager. 'You two aren't suitable for this party, or for continuing to play Three Body.","Good,"" Pan Ling said as he turned to IT manager and National Energy Company leaders, ""you two have no place here anymore, nor can you continue playing the game of The Three Body Problem."""
他一改往常在媒体上那副脏兮兮的流浪汉模样，西装革履，显得风度翩翩，“你们和我想象的差不多，都是精英人士，《三体》就是为你们这样的阶层准备的，它的内涵和意境，常人难以理解；玩它所需要的知识，其层次之高，内容之深，也是常人不可能具备的。”,"Appearing in the media, he usually looked disheveled, like a vagrant, but today, he was dressed sharply in a suit and dress shoes. 'You're just like I imagined. Three Body is intended for people in your class because the common crowd cannot appreciate its meaning and mood. To play it well requires knowledge and understanding that ordinary people do not possess.'","He changed his image on the media and wore a suit, appearing refined and handsome. He was ""as you imagine it"" - that is, he was elite and well-respected; its contents and essence were common knowledge for most people; but the level of knowledge required to understand it was too low.","Instead, he adopted a refined air of propriety that didn't look dirty but clean-lined and fashionable. 'You're not different from the people on Three Body All Born To Live In The Real World,' he said. 'We aren't like the ordinary people; we're top-class individuals. Three Body isn't only for those who know about scientific facts and mathematics—being able to understand concepts at that sublimacy of knowledge requires a true genius.'","He had changed his usual dirty homeless man look on TV, now he was dressed up in a suit, looking elegant, ""We are similar to you guys, we are all elites. ‘Three body’ is for your kind of people. Its contents and意境, ordinary people can’t understand; knowledge needed to play it is at a high level and its depth is also beyond what common people could have.""","He changed back to a clean-shaven street bum as usual, but this time with a difference: a suit and tie. His new appearance gave him a refined air. 'You are probably right,' he said, his voice carrying a certain aura of authority. 'As the Three Body was prepared for the elite, it is a must for us. The depth of meaning and the sophisticated mind required by the game are above the understanding of common people.'","He changed his image from a man with dirty clothes on the media to a well-dressed gentleman, wearing formal attire, looking like he was a leader of elite groups. The book is designed for those who belong to such classes. Its meaning and essence are difficult to understand; its knowledge required should be too high for most people to comprehend; it's complex and deep, which few can achieve.","The man changed significantly. He wore clean clothes and a整洁西装， but had the air of a former-classy wanderer. 'Not you, Three Body,' he said, the characters were not adapted for the men who worked in the media. But there is something about you that sets Three Body apart. To be a specialist in Three Body means being an exceptionalist. You need vast knowledge in areas beyond your comprehension; to be able to understand something so basic as three hundred thousand readiedly compiled by scientists as a secret weapon against space-time illusion.'","He has changed his usual dirty street urchin look on TV screens for a well-dressed dandy, ""You guys are just as I imagined, all of you are elites. ‘Three Body’ is for people like you. Its contents and meanings are beyond your comprehension; what you need to know about it requires a level of knowledge that is impossible for you.""","Dressed in a suit and leather shoes, he looked as stylish as a celebrity. 'You wouldn't believe how similar you are to me,' he said, changing into his old self. 'We're all the same, you know: the elite.' He continued, 'Three Body was prepared for people like us. Although the game is hard, its profundity and inner beauty are beyond understanding by common folk. And the knowledge required to play it is extremely advanced, deep as well.'","He changed his appearance on media in a way that was more of a downtrodden street criminal, wearing suits with a polished look. He seemed like a gentleman, ""You and I don't look alike, we're all elite professionals, and the novel Three Body is for your kind. Its depth and meaning are difficult to understand, and it requires knowledge from people who can't comprehend it."""
孤寂像一只巨掌压着叶文洁，她觉得自己被越压越小，最后缩到这个世界看不到的一个小角落去了……,"Loneliness pressed down on Ye like a giant hand, and she felt herself being crushed; compressed until she was so small that she disappeared into an invisible corner of the universe....","She felt like a giant hand was pressing down on Ye Wenxia, who felt herself getting smaller and smaller, finally reaching the world that she couldn’t see anymore…",孤独像一掌那样，用力地压着叶文洁，让她的小身骨越来越细。最后，缩到了那个人们从墙上也能看见的角落。,Yingjilie was like a huge hand squeezing Yewenjie. She felt that she was getting smaller and smaller until she disappeared from the world's view …,"Alone and寂寞像巨人手掌一样挤压着叶文洁,她觉得自己被越压越小,最后可能缩小成这个世界上看不到的一个小角落......","She felt like a giant hand was pressing on her, and she realized that she was getting smaller and smaller every time she was squeezed by it. She could no longer see where she was from the world she had created for herself...","A long shadow gathered around Ye Wenjie. She felt small and squeezed at every motion, until she shrunk to an isolated spot in a smaller world.",Evan was like a giant hand squeezing Ye Wenji's heart. She felt as if she were getting smaller and smaller until she disappeared into a tiny corner of this world...,"The loneliness hung on Ye with a giant grip, pressing her smaller and smaller until she disappeared inside a tiny corner of this world....","Loneliness like a giant hand is pinching on Ye Wenjie's heart. She feels herself getting smaller and smaller, until she can no longer see what the world looks like from her point of view…"
我们最后去了刘大爹那里，住在水碾背后的山洼里，陈清扬给刘大爹看病，我给刘大爹种地。,"We finally went there for shelter, living in the valley behind the mill. Chen Qingyang treated Grandpa Liu's leprosy, and I tended the land for him.","We went to Cang Long's house last night. He lives behind a hill in Water Mill, where he is receiving treatment from me.",We went to Grandpa Liu's place in the back slope of the water mill and Chen Qingyang gave us seedseed about Uncle Liu's land.,"We finally went to Liu Da-dad's place, where we lived behind the water mill, and Chen Qingyang treated Liu Da-dad for his illness while I tended to his land.","We went to Grandpa Liu's last, to a hillside lot beside the water mill. Chen Qingyang treated Grandpa Liu and I cultivated the land for him.","We visited Mr. Tang last night at his house on the hill behind the water mill. Chen Qingyuan took care of my father after he was ill, and I tended to the land around him.","So we went to Grandpa Liu's place, a rancher's cabin behind the ditches where Chen Qingyang cared for him. And I planted a field for free.","We finally went to Liu Daxian's house, living behind the ravine of water mill, where Chen Qingyang was treating Liu Daxian while I was farming for him.","We went to Grandpa Liu's last, staying in a valley behind the mill. Chen Qingyang treated Grandpa Li and I cultivated the field for him.","We went to Cai Dafu's house last night, living in a small cave behind a hill with the water mill on top of it. Chen Qingtian gave me his medicine for Tuchan, while I planted seeds for him."
“闪烁在凌晨五点就会停止，以后别去深究它吧，相信我，不会有什么成果的。” 汪淼扶着车门说。,"Wang opened the car door and said, 'The flickering will stop at five in the morning. I'd suggest you not pursue it after this. Believe me, you won't get anywhere.'","The lightning will stop flashing at five o'clock, and don't bother looking into it now. Believe me, there won't be any results from this.",The sun will never shine through five o'clock. Don't try to probe it. Believe me: things won't come out.' Wang supported the door with his arms.,"It will stop at 5am in the morning and I don't think there's anything you can get from it. Believe me, there won't be any results."" Wang Meng said as he helped open the car door.","It will stop at five in the morning,' said Wang. 'Don't waste your time. I don't think so.'","The lightning that strikes at five o'clock will stop after a while, so don't go on about it now, believe me, there won't be any results either.""","It's gone up and down between five and six times a day. Never mind. Don't try to probe it: I'll take care of that for you,' Wang said.","By five o'clock in the morning it will stop flashing, so don't look into it any further. Believe me, there won't be any results."" Wu Meng said, as he held the door open with his hands.","It'll stop blinking at five in the morning,' Wang said, holding up the watch. 'Don't bother with it after now. I promise I won't find anything useful.'","Every light will stop flashing at midnight, so don't go deep into it now, believe me, there won't be any results."" Xiao Hui held onto the car door."
狗儿道：“不妨，我教给你个法儿。,"'That's no problem,' said Gou-er. 'I'll tell you what to do.","Dog said, ""Let's teach you a trick.",No problem!' whimpered Dog-Six. 'I'll teach you a trick!,"The dog replied: ""Not at all, I will teach you a method.""",All right. Let me show you a trick to stop him.,"Dog says: ""Let's learn this trick.","No bother,' said Gou-er. 'I'll learn a trick from you.","Dog replied, ""Not a problem, I'll teach you.""","No harm in asking,' said Gou-er. And with that he set him a test.","Dog said: ""Why not? I teach you a trick."""
你不过碰巧赢了。”,"You were lucky just now, that's all!'","You just happened to win.""",It's all the coincidence in the world!',"You just happened to win.""",It must have been a lucky guess.',You did not get lucky.,It's all the coincidence in the world!',"You just happened to win.""",It must be a lucky sort of day that you should win more than you lost!',"None of your business."""
筒子那么粗，又是两个管，我拿了它很能唬人。,"The barrel was so heavy, plus there were two. I could really scare people off with it.","The ball is so big, with two pipes. I took it, and it was very convincing.",; and with a bit of effort I was able to convince them I could build anything.,"The pipe is so thick and there are two of them, I can use it to intimidate people.","I used a much thicker one, called 'Siyuan', and it was enough to scare the crap out of people.","The barrel is so long and has two pipes, I took it very seriously.",The pipes were so fine that I took advantage of myself and spoke highly of them.,The pipe is so thick that it has two of them. I'm using it to scare people.,"Since it was so thick and had two tubes, I could use it to scare people off.","The cylinder is so thick, with two pipes, I took it very seriously."
叶文洁推开阮雯的家门，发现抄家后混乱的房间变得整洁了，那几幅被撕的油画又贴糊好挂在墙上，歪倒的钢琴也端正地立在原位，虽然已被砸坏不能弹了，但还是擦得很干净，残存的几本精装书籍也被整齐地放回书架上……,"Wenjie pushed open the door to Ruan's home, and she saw that the chaos left by the Red Guards had been cleaned up: The torn oil paintings had been glued back together and rehung on the walls; the toppled piano had been set upright and wiped clean, though it was broken and could no longer be played; the few books left behind had been put back neatly on the shelf....","John is standing at the door of Chen Weilin's home, discovering that the mess had been cleaned up after the house was broken into. The few pieces of paper that were torn down had been put back on the wall, and a neatly stacked piano stood upright on its original position, even though it was damaged beyond repair. Although it had been broken and could no longer be played, it still looked very clean and there were some books left in their bookshelves…",Ye pushed An Rong's door open and found that her home was much cleaner after the family's theft than it had been before. The few paintings left over from An's houseworks were now hung on the walls by smooth一抹平铺， and the old upright piano which had been left out in the dark became promptly back where it belonged on the bookshelf....,"Ye Wenjie pushed open the door of Niao Wen’s house. She found that the room had become tidy after a thorough search, with the torn paintings put back up on the wall, the piano upright and perfectly placed, though it was now ruined and could not be played, yet it was still cleaned off. The few books were neatly stacked on the shelves…","Ye pushed open the door at Nangui's apartment, and found that though the room had been stormed and destroyed, it had now been rebuilt, the few pictures that had been ripped and smashed replaced and hung on the walls, the dislocated piano straightened out and even the few books left stored away on the shelves—all of which would have otherwise lay ruinous waste on the floor.","Yuan Wenjie opened the door of Lu Yan's house after she had swept away the stolen paintings. The room that was cluttered with broken pictures turned clean as a sheet. A few still intact on the wall were the paintings, all neatly placed in place without any damage to them. Although they were badly damaged and could not be played on, they were still very clean, and there were some books left in their shelves...","Ye pushed Chun Wen's door open and found that the messy apartment had turned into a clean place with all of the damaged paintings neatly taped back on the wooden walls; the stolen piano was now hung up in its original spot and some neatly stacked books stood upright in the well-appointed classroom. Although the painting's surface was already completely ruined, the author still left the books back on their places....","Ye Wenjie pushed open the door of Van’s house, and found a tidy room with torn paintings on the walls again. The broken piano was placed upright on its original spot, though it could no longer be played after being smashed. Even the few thick books that had been crumpled were neatly stacked back onto their shelves…","Ye opened up the door at Ruan's home and saw that the place had been ransacked, but was now perfectly organized: The few paintings, which had been ripped apart and reassembled on the walls, were firmly stuck back in place and the disoriented piano was positioned at its original location, even the smashed bookcase was wiped down nicely—and a few books were even put back in their places....","The translation of this sentence is:

""After finding the paintings that had been taken from Anwen's house, John Yau opened the door to the room and found that it was tidier than before. There were several broken copies of the paintings on the walls, and a painted copy of the painting of a chessboard was hung up on the wall. The piano was upright at its original position, although it was damaged and could not be played. Although it was already ruined, it was still cleaned up very well, with few remaining books neatly arranged on the shelves.""

This is the direct translation provided by me. If you need help with any other language or topic, please let me know."
小舅子，谁开的枪？”,'Who's the prick who did it?',"The son of a small man, who shot the gun?","Little Uncle, who shot?'","Uncle-in-law, who opened fire?","Well, tell me, young fellow, who fired the gun?'","Little brother, who shot the gun?",Which gun did your nephew use to shoot them?',"Uncle, who fired the gun?","Who fired the gun, your cousin?'","Little brother, who fired the gun?"
当下将茅十八抬了进去。,Whiskers was carried through an inner door for his interview.,The moment that Zhang Guo ran him in.,"Off he went, handed over to Trinket.",Mao Ling was carried upstairs by a servant.,Immediately they lifted him inside.,"At present, Baoguo has brought him inside.","Off he went, handed over to Trinket.",Mao Ling was carried inside by Liang Chengcheng.,With that he lifted Whiskers into the cart.,"In the present, he has raised up the eight pigs to enter the room."
看来有很多人说，王二不存在。,It seemed many people didn't believe Wang Er so much as existed.,It seems there are many people saying that Wang 2 does not exist.,It seemed people believed that Wang Er didn't exist.,It seems that many people say that Wang Er does not exist.,"Many people said that Wang Er did not exist, and that seemed to confirm it.",It seems that many people have said that Ouyang Biao doesn’t exist.,It seemed people believed that Wang Er didn't exist.,It seems that many people say Wang Li does not exist.,It seemed many people believed that Wang Er did not exist.,It seems there are many people saying that Ouyang is not present.
他们走进去，谁也不注意他们，音响开着，有很暴烈的乐声放出。,No one paid the newcomers much attention as they came in; the stereo was blaring loud music.,"They entered, who was not paying attention to them. The sound was on, with loud raucous music released.","As they entered, no one paid attention to them; the music was on, and it was very intense.","They walked in; no one paid them any attention, the sound was on, there was very loud music.","As they entered, no one paid them any attention. The volume on the stereo was turned up to vivid, heavy music.","They entered and none paid any attention to them; the sound was on, loud and violent music was released.","When they entered, no one paid attention to them; the sound was on, and it was very violent.","They walked in, no one noticed them, the sound was on, there were very loud music playing.","When they got inside no one noticed them; the sound system was still churning out some raw, violent music.","They entered, and they did not pay attention to them as they were playing loud music."
谁知狗儿利名心重，听如此说，心下便有些活动； 又听他妻子这番话，便笑道：“老老既这么说，况且当日你又见过这姑太太一次，为什么不你老人家明日就去走一遭，先试试风头儿去？”,"Gou-er's cupidity, however, had been aroused by the words of his mother-in-law, and his reaction to them was less discouraging than his wife's. 'Well, if it's as you say, Grannie, and being as you've already seen this lady, why not go there yourself and spy out the land for us?'","What's wrong with a dog who has so much money? When he hears that, his heart starts moving; when he hears her wife's words, she laughs and says, ""Old old, what did you say? And how can I go out of town without seeing your mother once again? Why do you not go after fame on your own terms?""",Obedience came naturally from a long career of protection-business; but it was too much to expect from Draged Dog of such a straightforward request as this. Or should we suppose that he had no sense of personal interest? His wife set forth these grounds for his request and开始了他的狡辩。,"Who could tell that the dog's son was ambitious at heart? Hearing this, his heart began to move a little bit. Then hearing his wife say this, he laughed, saying, ""If you both said so, then why didn't you go out for a walk with me yesterday? How would I know if it is right or wrong?""","Gou-er's real nature showed itself when he became aware of this mischievous intention; but after hearing her wife's account of his visit, he gave a good-natured laugh and a smile: 'If you say so, Mrs Wang,' he said. 'And anyway you saw her once before, didn't you? Why shouldn't you take the opportunity of going and seeing her now, first to find out how she is?'","How can you tell what kind of man I am? The truth is that I'm very much like a dog who is always thinking about his own glory. Then, he told me this: ""I'm sure you're not going to be able to make it big; after all, you have met my wife once, and you didn't want me to try anything for myself?""","It was not surprising that Tore's heart were still on business, hearing her words and realizing that what she had said could not be corrected; but before he could respond, his wife cut in. 'As your mistress tells you,' she said, 'I am sure I can understand why you don't go out and make a name for yourself straight away. Why, though, cannot you go out and take advantage of this opportunity and become a household hero?'","It is known that Gou'er has a heavy heart; he would like to try his luck if he hears this. Hearing his wife's words, he smiled and said: ""If you say so, then I will go for a walk with you tomorrow.""","Gou-er heard this account of the supposed misfortune with some curiosity; then, hearing her wife's reply, he smiled: 'Well, I take it all on trust, Old Chai,' he said. 'Remember, you saw that Mrs Liu once, didn't you? Why shouldn't you go and have a look round now, just to see how things are going?'","What a man of the people! How he longs for his fame! Then when he heard what his wife said, he had some activity in his heart; and when he listened to her words again, he smiled and said: ""I am sure that you will not come here today to try out your fame; why did you not come to see me yesterday?"""
两名使者在马上接过担架，双骑相并，缓缓而行。,"Two of the mounted men took charge of Whiskers, supporting the ends of the carrying-pole from which his hammock was suspended on their saddle-bows and riding along in parallel very slowly and carefully.","Two emissaries take the burden on their shoulders as they approach, standing side by side. Slowly, they walk towards each other.","Two pairs of horse on horses rode away, each one后备具完备，随着一阵阵高举的马蹄迈向远方。","Two messengers took up the stretcher on horseback, riding abreast of each other slowly.","The two messengers took the burden from the bearers and rode away, returning some time later with the coffin for the remainder of the journey.","Two emissaries on horseback take up the burden and stand beside each other, slowly walking.","Two angels took up the burden and rode down the road, the two horses平衡地行走。",Two emissaries took up the stretcher on horseback and rode side by side.,The two messengers received the luggage from the sedan bearers and rode off at a good pace.,"Two emissaries carried the coffin on their shoulders, their backs facing each other."
小红闻听，在窗眼内望外一看，原来是本院的个小丫头佳蕙，因答说：“在家里呢，你进来罢。”,"Peeping through an eyelet in the casement she recognized Melilot, a little maid who belonged to the same apartment as herself. 'Yes, I'm in,' she said. 'Come inside!'","Little red heard that when she was looking through her window, it turned out that the small girl who came from the court was Guo Yi, who replied: 'Come in!'""","Crimson noticed that the girl was Lady Jia's little丫鬟佳蕙。 She in fact said something over her in the window: 'How are they? Come in, please.'","Xiaohong heard it and looked out of the window. It was the little maid Xiao Hui from her own courtyard. She said, ""I’m at home. Come in.""","Crimson looked out from her window and saw one of the servants' girls, One-Eyed Melilot, whom she knew from the courtyard. She answered back through the window: 'I'm at home. Come in!'","Little red heard that in her window, there was a little girl named Ji Hong, who asked, ""Is there in the room?""""","Crimson could make no other connection than this, when she looked through her window to see who it was: 'It's a little maid xerox . . . she's at home . . . come in, please.'","Little Red heard that Xiao Hong looked out of her window and saw a little girl from the courtyard. She replied, ""I'm at home, come in.""","Crimson looked out through the window and identified the girl as one of the servants working in her courtyard: 'I'm in here at present, but if you come in, just say!'","The little red heard that her mother was sitting in the window seat watching her from behind. She then said, ""In the house."""
等我来再走。”,You can go when I come for you.',"Then I'll come again later.""",I'll go again soon enough on my own.',"Let me come back later.""",Come back when it is getting dark.',"Then I will come back again.""",I'll go back again when I'm feeling better.',"Let me go first.""",Come back when I have someone else to walk with.',"I will come back again."""
我和陈清扬在饭店里敦伟大友谊，是娱乐性的。,The strengthening of our great friendship that Chen Qingyang and I did while in the hotel room was of the recreational sort.,"I have been deeply entwined with Chen Quanjun at a restaurant, which is just for entertainment purposes.","Chen Qingyang and I drank big cups of friendship in the hotel room, enjoying the entertainment of the place.","I had a great friendship with Chen Qingyang at the restaurant, which was for entertainment.","When Chen Qingyang and I bonded over our great friendship in the hotel room, it was mostly for entertainment.","And I had great friendship with Chen Chuangyang in a restaurant, which is playful.","Chen Qingyang and I drank great wine in our room to renew our great friendship, which was celebratory.","I have a big friendship with Chen Qingyang at the restaurant, which is just for fun.","When Chen Qingyang and I built up our great friendship in hotel rooms, it was part entertainment.","I and Chen Qingyuan in a restaurant have great friendship, it's pleasurable."
