chinese,english,unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned),unsloth/Qwen2-7B-Instruct,unsloth/Qwen2-7B-Instruct(finetuned),unsloth/mistral-7b-instruct-v0.3,unsloth/mistral-7b-instruct-v0.3(finetuned),gradientai/Llama-3-8B-Instruct-Gradient-1048k,gradientai/Llama-3-8B-Instruct-Gradient-1048k(finetuned)
左首一人又高又瘦，面目黝黑，姓顾名炎武，字亭林，江苏昆山人士。,"The other one, a tall, thin man with a swarthy complexion, was Gu Yanwu, a native of Kunshan in Jiangsu Province.","The first one is tall with a scrawny face, with dark skin, named Guo Zhenwu, known as Tiantian Lin, from Shandong Province.","The next man to the left was also very tall and heavily built, with a patch of dark hair skin. His full name was Gu Zhirin, and he was the first chairman of the Academy.","A tall and thin man, with a dark complexion, by the left was called Gu Zongben, also known as Huang Tinglin, a person of Jiangsu's Kunshan.","The one he addressed as 'Zongyi' was a tall and gaunt man of perhaps forty years or so, of some extraordinary culture and with a surname – Gu Yanwu – which clearly originated in a place where the Chinese language was widely spoken. He had now settled in Shanghai.","The person on the left was tall and thin, with a dark complexion. His name was Kǔ Yánwǔ, also known as Tinglín. He was from Kunshan, Jiangsu province.","The one he addressed as 'Zu' was a tall, thin man with dark, weathered features. His full name was Gu Yanwu, or, as he had been taught to be known, Xu Tinglin. He was a man of Kuanshan in Jiangsu Province.","Left, one person, tall and thin, face dark, surname Gu, name Enwu, given name Tinhlin, a gentleman from Kunshan, Jiangsu.","The one he addressed as 'Lian' was a tall, thin man with a dark complexion. His surname was Gu and his clan name Yanwu. Like his interlocutor, he was a man of Kunshan in Jiangsu Province.","The first person is tall and thin, with a dark complexion. His surname is Gu and his given name is Wen Wu. His style name is Ting Lin, and he is from Kunshan, Jiangsu.","The one he addressed as 'Old Gui' was a tall, thin man with a dark complexion. His full name was Gu Yanwu and he, like his host, was a man of Kangxiang in the province of Jiangsu."
这些人嘴里尊称自己是香主，满口什么静候香主吩咐云云，其实各人肚里早就有了主意，只盼得到自己赞同，于是一切便推在韦香主头上，日后他们就不会担当重大干系。,"It was all 'Master this' and 'Master that' and respectfully waiting to be told by the Master what they should do; but invariably they had already decided what they wanted to do and only wanted the Master's approval for doing it, so that if there was any question about it later, the Master would have sole responsibility for what they had done.","These people speak of themselves as masters of the fragrance, and often talk about waiting for their master’s instructions, which is all part of a plan they have been working out all along. However, when it comes time to say “I consent” or agree with something, they tend to forget that they already know what to do, so instead of being hesitant, they simply go ahead and do whatever they want, regardless of whether or not it aligns with their own plans.","These off-duty masters like to crow their new beloved's glory, but all they do is wait for him to order them what to make. Already long before their meetings, in fact, every one of them had a plan in mind and was waiting for its execution to be carried out. All they wanted was for someone else to agree with his that they should not take part in any important matter. In this way their roles would never grow too great.","These people spoke of themselves as the master of incense, and constantly said things like ""waiting for the will of the master of incense,"" but in their hearts they had already made up their minds what to do. All they needed was the approval of the master of incense, and then they would not be held responsible for any serious consequences.","These Helmsman-songs all bowed up front and claimed their lofty title with reverent phrases like 'Waiting for my chief's instructions'. But whatever it was they had in mind, all they really wanted was the green-light from their leader. So they made him the hero: any decisions they made had only to be referred back to him for approval, and thereafter they could not take responsibility for them.","These people, who call themselves Grand Incense Masters on their lips, and spout nonsense like waiting for the Grand Incense Master's instructions, actually have their own plans in mind. They only hope that their ideas will be approved by them, so they can shift all responsibilities onto Wei the Grand Incense Master. That way, they won't bear the weight of major consequences in the future.","These people would stand respectfully and call him 'Elder': 'I beg to wait for your instructions, ' they would say, but all the time they would be plotting inside their heads, hoping to persuade him to agree with them so that he would have to answer for any major decisions and they would not.","These people call themselves ""incense masters"" and talk about waiting for the incense master's instructions. In reality, each person has already made up their own minds, and they are just hoping to receive the incense master's approval. As a result, everything is blamed on the incense master, and they will not take responsibility for their actions in the future.</s>","These individuals, who all called themselves 'the Master of Fragrances', would come out with a lot of nonsense about waiting for the Master of Fragrances to give them orders; in reality they had their own opinions, but were waiting for this 'Master of Fragrances' to approve of them before they carried them out. In the future they would shift the blame for any big mistake they made onto the Master of Fragrances.","These people refer to themselves as the ""incense master,"" constantly uttering phrases like ""wait for the incense master's orders"" or ""the incense master's will."" In reality, each person has already formed their own plans, only hoping to gain approval. Consequently, everything is pinned on Wei the Incense Master, after which they will no longer take on major responsibilities.","These people all referred to him as 'Master'. They were constantly asking his opinion on this or that, but in truth each of them had formed a opinion of his own long before. They now wanted only his approval to go ahead with their own plans."
我说我不是真去洗温泉，而是到后面山上住几天。,I said I wasn't really going to the thermal springs. I just wanted to stay on the back slope of the mountain for a few days.,"I do not go to the hot springs, but stay for a few days at the mountain top.","I said I came only to bathe at the thermal springs, not to stay the night on the mountain.","I say I didn't actually go to the hot springs, but stayed up on the mountain for a few days.","I told him that I hadn't gone to the thermal springs at all, but had stayed on the back mountain for a few days.","I said I wasn't really going for the hot springs, but rather to stay on the back mountain for a few days.","I said I wasn't really planning to go to the thermal springs, but to live on the back slope of the mountain for a few days.","I said I wasn't going to the hot springs, but instead, I'm staying on the mountain for a few days.</s>",I explained that I wasn't going to the thermal springs but would be staying on the back side of the mountain for a few days.,"I am not really going to hot springs, but I will stay on the mountains for a few days.","I told him that I wasn't going to the thermal springs to bathe, but to spend a few days on the back slope of the mountain."
彼此的梦里都做过无数回，那梦里的人都不大像了，还不如不梦见。,"They had appeared in each other's dreams, but the images in their dreams were so far from the real person that they would have been better off not even dreaming.","Both of us have made countless dreams of them, but they’re not quite alike now. Instead, I wish we didn’t dream at all.","Everyone had done countless dreams, but for all the wrong reasons. Their real faces never quite match the ones they dreamed of.","They had all done many dreams together, but the people in their dreams didn't look like themselves at all; they were better off not dreaming.","They had replayed the scenes in their dreams countless times, but with越来越远的记忆，已经记不清谁是真谁是假了，真叫人不想梦见。",Those who have been together dream of each other so many times that the people in their dreams no longer resemble reality; it might be better not to dream of them at all.,"They had each other's dreams to fall back on, but in those dreams they were not very much like themselves—and it was perhaps better not to remember.","In each other's dreams, they had dreamt countless times, but the people in those dreams didn't look like they did in reality. It was better not to dream at all.</s>","They had made love countless times in their dreams, and the people in their dreams were not at all like their real selves, and they both agreed that it was a relief not to dream about each other.","In each other's dreams, we've done it countless times, the people in that dream no longer resemble the real ones, it would be better not to dream at all.","They had gone through that scene in their dreams countless times, but the people in their dreams never looked quite right, and it was almost better not to see them at all."
唉，也不知我茅十八这一生一世，有没福份见他老人家一面。”,He sighed wistfully. 'I wonder if it will be my luck to see him before I die.',I don't know if I'm unlucky to have met him in his life or hereafter.,"Well then, what shall I say? Shall I forget the goodfortune that sees me off every time I set foot in his home?'","Ah, I wonder if it is my lot in life to ever have the chance to see him.",Pah! I wonder what has become of Whiskers Mungo all this time? Hopefully he's still alive and somewhere out there.',"Alas, I wonder if my Maotianfa will ever have the fortune to meet his venerable old man in this lifetime.""",I just wonder if I'm ever going to have the luck to meet him?',"Alas, I don't know if I'll have the fortune to meet his family in this lifetime.","Well, I wonder if I'll ever be lucky enough to meet him.'","Alas, I don't know if I'll ever have the fortune to meet the old man Ma Ecchin in this life of mine.","Well, I suppose it's too late now, but I wish I could have been there the day your father and mother were married. Just think, to have missed the chance of seeing them both together!'"
谁叫王二？,Who's Wang Er?,Who calls Wang Bo?,Who can be called Wang Er?',Who calls Wang Er?,What's his name?,Who's Wang Er?,Who asked Wang Er?,Who is calling Wang Er?</s>,Who's Wang Er?,Who is Wang Er?,Who is Wang Er?
所以她就决定，早晚要打我一个耳光。,So she decided she was going to slap me sooner or later.,"So she decided that at some point in the future, she would strike me with a punch.",So she decided that she would beat me up sooner or later.,So she decided that sooner or later she would give me a good swat.,So she decided that sooner or later she would give me a slap.,So she decided that sooner or later she would slap me across the face.,So she decided she would eventually give me a slap.,So she decided to slap me in the face.,So she decided she would have to slap me sooner or later.,"She decided, sooner or later, she would hit me a slap.",So she decided: she would slap me sooner or later.
那男孩使出摔交手法，抓住了韦小宝后领，把他重重往地下一摔。,"The boy now used a standard wrestling ploy, gripping Trinket by the back of the neck and pulling him to the ground with considerable force.","That boy swung a fist at him, grabbing him by the neck and pushing him down hard into the dirt.",The boy used a wrestling motion to catch Trinket and lock him in among the palms of his hand.,"The boy performed a grappling technique, seizing Kowloon and tossing him heavily onto the ground.","The boy used his wrestling techniques to secure Trinket by the collar, and dumped him hard on the floor.","The boy used a wrestling move, grabbing hold of Little Bao's collar and throwing him hard to the ground.","The boy threw Trinket to the ground, holding him by the collar of his jacket.","The boy executed a grappling technique, grabbed hold of Veigong, and slammed him to the ground.</s>",The boy grasped Trinket by the collar and flung him to the ground.,"That boy executed a judo throw, grabbed Wei Xiaobao, lifted him, and heavily threw him to the ground.",The boy eventually succeeded in grappling him to the ground and thrashing him roughly across the floor.
畜牲，老畜牲！,"You bastard, you old bastard!","The old animal, the old animal!","Hares, hares! Stinking humans!","Coward, old coward!","Little bastard, old bastard!","Beast, old beast!","You're a beast, you're a old beast!","Beasts, old beasts!",Beasts!,"Livestock, old livestock!","Ivory, you old fool!"
走出岗亭后，叶文洁听到他对学生们说：“娃娃们，科学家，这可是正儿八经的科学家啊！”,"After they left the gatehouse, Ye heard him say to the students: 'Children, that was a scientist. A real, bona fide scientist!'","As she walked out of her office, Ye Wenxia heard him say, “Youngsters, scientists, this is a real scientist!”","After leaving the market place, Ye saw the students look up and respond in unutterable reverence to him. 'Hey, kids,' he said, ""scientists. This is real science.""","After leaving the guardhouse, Ye Wenjie heard him say to his students, ""Kids, scientists, this is a real scientist!""","After leaving the gate, Ye heard the boy's voice saying, 'You little birds! Scientists! Real scientists!'","After stepping out of the guard booth, Ye Wenjie heard him say to the students, ""Children, scientists—real scientists!""","After he left the gate guard shack, he said to the students, 'Children, this is the real deal—scientist!","After leaving the observation post, Ye Wen-je heard him say to the students, ""Hey, scientists, this is a real scientist!""","As she walked out of the gate, Ye heard him say to the students, 'Young masters, this is what real scientists look like.'","Leaving the pavilion, Ye Wenjie heard him say to the students: ""Children, scientists, this is a real scientist here!""","After leaving the gate, Ye heard him say to the students, 'Children, this is a real scientist. Eight-armed Buddha!'"
程先生上班去了，就只这老少三个女人，互诉着生产的苦情。,"With Mr. Cheng away at work, these three women of different generations compared notes about the hardships of childbirth.","Mr. Guo went to work, only three women, each of them venting their pains on labor.","Mr. Cheng was gone by the time they reached their workplace, leaving the three women to vent their frustrations with him.","Mr Cheng went to work; there were only three women, old and young, telling their stories of the hardships of childbirth.","Mr. Cheng left for work, and the three women were now the only residents. They sat talking about the birth of the baby girl.","Mr. Cheng had gone to work, leaving just these three women of different ages to share their hardships of pregnancy.","Mr. Cheng went off to work, leaving only the old woman and her daughter-in-law to bemoan their lot.","The three women were left alone at home, complaining about their labor pains.","Mr. Cheng went off to work, leaving the three women to complain about the hardships of childbirth.","Mr. Chen went to work, leaving only three women, who were complaining about the hardships of production among themselves.","Having seen Mr. Cheng off to work, the two women and the girl were left alone and fell to complaining about their lot in life."
茅大哥不知能不能逃出皇宫去？,'I wonder if Whiskers got out safe?,Can Wang Bo escape from the palace?,I don't know if Whiskers managed to get out of the Palace or not.',Master Mao doesn't know if he can escape the palace?,I wonder if Whiskers has managed to get out of the Palace?',Can Big Brother Mao possibly escape from the imperial palace?,I wonder if Whiskers whether he can get out of the Palace?,Can 大哥 not escape from the palace?,I don't know if Whiskers got out of the Palace all right.,"Meng Da Ge, can you escape from the palace?",Can Whiskers get out of the Palace all right?
要的也不过分，不是地老天荒的一种，只是五十年的流萤。,"That's not too much to ask, is it? He didn't ask for an eternity, only the last fifty years.","There is not too much that is required; it is not a period of time that is eternal or everlasting, but merely a stream of light for five decades.","If only there were something more than the simplest kind, like five decades old and eternal shimmering like flies: a consoling thing, these, if only there were such a thing.’","It's not excessive, it's not a forever thing, just five decades of fireflies.","But we do want our50 years to be special, like a flame that burns for fifty years.","What is asked for is not unreasonable, not a love that lasts until the earth wears out and the heavens fall, but simply a fifty-year span of fireflies.","I asked for nothing impossible, only a five-year journey through time and space, like a fifty-year dash across the sky.","It's not too much, not a kind of old age, but a fifty-year-old firefly.</s>","What they want is no more than an even spread, a fifty-year glimmer of success.","The request is not excessive, it's not a kind of desolation from the heavens, it's just a glowworm of fifty years.","It is not a very serious illness, just a mere fifty-year fever."
我成了替爷们解闷儿的了。”,"I am to become a source of entertainment for the menfolk now, it seems.'",I've become a guy's best friend.,I make life easier for the Palace managers!',"I have become a man's clown.""",I'm here to keep you amused.',"I became someone who alleviates my grandfather's boredom.""",Now I've grown up and I'm supposed to be the one who makes them happy.',I have become the one to comfort you.</s>,I'm just here to keep them company.',I have relieved the elders of their worries.,I'm their entertainment.'
尤其到了圣诞节，圣诞歌一唱，你真分不清是中国还是外国。,"This is especially so around Christmas time: as soon as the Christmas carols break out, you are hard pressed to discern whether you are in China or abroad.","In Christmas Eve, when the song of Christmas is sung, you really don’t know whether it’s Chinese or foreign.","But especially on Christmas day, those Christmas songs make you wonder if it was indeed from abroad or from China.","Especially during Christmas, when carols of ""Adeste Fideles"" begin, you can't tell whether it's Chinese or foreign.","It got so Christmas time the songs would sound foreign, you couldn't tell if they were Chinese or not.","Especially during Christmas, when Christmas songs are sung, you really can't tell whether you're in China or a foreign country.","This is especially true at Christmas time, when you can't tell if you are in China or a Western country.","Especially during Christmas, the Christmas carols sound so similar that you can't tell whether they are Chinese or foreign.</s>","And especially on Christmas, when they sing those songs, you can't tell that it's not a foreign country.","At Christmas, when Christmas carols are sung, it's hard to tell if it's China or a foreign country.","This is especially true during the Christmas season, when the songs sound as if they were sung in China, but you cannot tell whether they are really Chinese or not."
劫路人一声惨叫，半截吐出口外，半截咽到肚里，血从他鼻子里流出来。,The man shrieked in pain; blood trickled from his nose.,A man is shouting out a cry of pain from his mouth as half of his head falls out and half of it flows down his throat. Blood trickles out of his nose.,"The highwayman cried out as though he had screamed in pain, and half of his coat was torn apart, half of which splashed against the floor before he swallowed it down again with a sound like gasp.","A man screamed as he was taken down by the gang, and half his mouth and nose were bleeding.","The highwayman cried out pitifully as the bullet passed through his chest and then went insidiously directi0nally. Blood spurted from his mouth, and then stopped short in his stomach.","The traveler let out a惨叫声, half of which was spat out, and half swallowed, with blood trickling from his nose.","He screamed horribly and died, half of his throat exposed and half swallowed whole, blood welling out of his nostrils.","One scream of the traveler, half of it spewed out of his mouth, half of it swallowed, blood flowed from his nose.",He began to cough up blood from the mouth and nose.,"The robber made a loud, desperate scream as he spat out half of it from his mouth and swallowed the other half into his stomach. Blood flowed out from his nose.","He let out a scream, half-choking, half-vomiting blood from his nostrils."
因为这些事我无从想象，所以是我存在的证明。,"Since I couldn't imagine these things, they must be evidence of my existence.","Because I cannot imagine it, therefore it is my proof of existence.","Because these things none of you could imagine, that proved my existence.","Because these things I cannot imagine, they are my proof of existence.","Because I couldn't imagine such things, they were the only proof of my existence.","Because I cannot imagine these things, they are proof of my existence.","Since I couldn't imagine these things, they had to be real—and that was proof of my existence.","Because I couldn't have imagined these things, they are my proof of existence.</s>","Because these things were beyond my imagination, they proved my existence.","Because these events are beyond my imagination, therefore, they are proof of my existence.","Because I couldn't have imagined these things, it was proof that I existed."
韦小宝不知“羚羊挂角”是什么手法，误打误撞的胜了一招，大为得意，说道：“这‘羚羊挂角’算得什么，我还有许多厉害手法没使出来呢。”,"Trinket had never even heard of the Antelope. He'd just been improvising and thrashing around, and somehow or other had managed to outwit his opponent. He was pretty chuffed. 'The Antelope is nothing!' he cried. 'I know plenty more, and they're a lot worse. You haven't seen anything yet!'","Quan Xiaogang does not know what ""羚羊挂角"" is, so he misjudged it and won a fight, feeling very proud of himself. He said: ""This '羚羊挂角' can't compare with my other skills.""","Trinket had no idea what the 'goel's trick was; but accidentally winning a challenge, he had taken on a lower-ranking trainer, and the result was a feeling of superiority that lifted him for some minutes. 'Hmm, I've got a lot more than this to show for themselves,' he said. 'I've only just begun.'","Wu Xiaogang did not know what the ""elephant's back"" was, and by chance he won a fight. He said with great satisfaction, ""This 'elephant's back' is nothing compared to me; I have many more powerful techniques yet to use.""","As Trinket had no idea what 'hang with a bucking antelope' was, he took a chance and added another point to his total. 'I don't think a hanging-with-a-bucking-antelope is all that impressive! I've got some of my own up my sleeve!'","Wei Xiaobao did not know what ""antelope on a branch"" referred to, but he had won by accident and was very pleased with himself. He said, ""What is this 'antelope on a branch'? I have many more powerful techniques that I haven't used yet.""","Trinket had no idea what the 'stags' technique was supposed to be, but since it had now enabled him to win a second time, he was getting quite cock-a-hoop. 'What's so difficult about that?' he thought. 'I could beat you any time if you like! I've still got plenty of other tricks up my sleeve that are much harder.'","I don't know what ""yingyang gao"" is, but I accidentally won by using it, and I feel very proud. I have many other powerful techniques that I haven't used yet.</s>","Trinket had no idea what the bucking antelope was, and since he had won through luck, was all the more pleased. 'What's so great about the bucking antelope?' he said. 'I've got lots of other moves I haven't even used yet.'","Wei Xiaobao didn't know what ""hang the horns of a goat"" meant, and won a move accidentally. He was very proud and said, ""What's the use of 'hang the horns of a goat'? I still have many powerful moves that I haven't used yet.""","Trinket didn't know what the man meant by 'the mark of the antelope'. But he was proud of his luck, and boasted: 'Ha! Fancy thinking that the bucking antelope was all we had up our sleeves! We've got lots of other tricks we haven't shown you yet.'"
我和陈清扬在蓝粘土上，闭上眼睛，好像两只海豚在海里游动。,"When Chen Qingyang and I lay on the blue clay with our eyes closed, we felt like a pair of dolphins swimming in the sea.","I was playing with Hua Qingyang on blue clay, closing my eyes as if they were two dolphins swimming in the sea.","On blue clay, we closed our eyes like two dolphins swimming in the ocean.","I sat on blue clay, closed my eyes as if two dolphins were swimming in the sea.","Chen Qingyang and I closed our eyes on the blue粘土, imagining we were dolphins swimming in the ocean.","Ming Cheung Yang and I were on the blue clay, our eyes closed, as if we were two dolphins swimming in the sea.","Chen Qingyang and I were on the blue clay, our eyes closed, like two dolphins swimming in the ocean.","I and Chen Qingyang are on the blue clay, closing our eyes, as if two dolphins swimming in the sea.</s>","Chen Qingyang and I closed our eyes on the blue clay, just like dolphins swimming in the sea.","I and Chen Qingyang on the blue clay, close our eyes, it seems like two seals swimming in the sea.","Chen Qingyang and I lay on the blue clay, with our eyes closed, as if we were two dolphins swimming in the ocean."
晚村兄要是有意，咱三人结伴同去扬州，兄弟给你引见几位同道中人如何？”,"If you'd care to join us, the three of us could travel to Yangzhou together. I have a number of contacts there I could introduce you to. What do you think?'","If late Nihon no Tsukuyomi wishes it, we would go together to Yangzhou with you, and introduce you to some of your fellow comrades whom he knows?","If you like, Mr Li, I think it would be great if we could join forces and go to Yangzhou on a little trip; so that you can introduce some of our friends from the mountain?'","Brother Wan, if you are interested, we could go together to Yangzhou with three of us, and I would introduce you to some fellow travelers.""","If you're really interested in seeing them, why don't all of us go together? We could make a little trip to Yangzhou and introduce you to some of the fellows. What do you think?'","If Brother Wancun has the intention, the three of us can go to Yangzhou together. How about I introduce you to a few like-minded individuals?""","If you are serious about this, I can easily arrange a trip to Yangzhou for the three of us. Introduce me to some like-minded souls, will you?'","If your brother is interested, we can go to Yangzhou together and introduce you to some of our colleagues.</s>","'If you're serious about going, I'd like to invite you to come with me to Yangzhou, Lavendar. I'll introduce you to some of the like-minded individuals I know there.'","Wancun Xiong wants to go to Yangzhou if he has the intention. Can I introduce you to a few acquaintances in the same field when the three of us go together?""","If you change your mind, the three of us could set off for Yangzhou together. I know some people in the Society who could help you get an introduction.'"
红色联合的红卫兵们退后一段距离，将那个挂在高处的躯体当靶子练习射击，密集的子弹对她来说已柔和如雨，不再带来任何感觉。,"The Red Guards backed up some distance and began to use the impaled body for target practice. For her, the dense storm of bullets was now no different from a gentle rain, as she could no longer feel anything.","The Red Guards retreated a few steps away from her, aiming their rifles at that hanging body and firing them with great precision, making it feel like rain.","After a short distance, the red Guards took off their belts and fired at a target on a high pole with a rifle, dismissing all the bullets as soft like drizzle, never noticing another way to numb them out.","The Red Joint's Red Guards backed away a little and practiced shooting at the body hanging high, which was now like rain on her, no longer causing any feeling for her.","The Red Union's Red Guards withdrew some distance, practicing their shooting from a distance with the body hanging from the roof. She no longer felt the pressure of hundreds of bullets raining down on her body; it was soft like rain.","The Red Guards, now in red alliance, stepped back and aimed their rifles at the body perched high up, using it as a target for practice. The dense bullets fell upon her like gentle rain, no longer carrying any sensation.","The red troops stepped back and began firing at the hanging figure, practicing their aim. The bullets, now as gentle as rain, no longer gave her any feeling.","The red guards retreated a distance, practicing their shooting skills on the target hanging from above. The bullets, once a threat, now seemed gentle and rain-like to her.</s>","The Red Guards ceased firing at close range and had the corpse on the pole targeted as practice for their marksmanship. The bullets flew through her body without feeling, like rain.","The red-clad Red Guards retreated a certain distance and used the body hanging high up as a target for practice shooting. A dense barrage of bullets felt soft to her, no longer bringing any sensation.","The Red Guards of the Red Union stepped back a few paces and fired at her suspended body. The barrage of bullets was now as gentle as rain, and she felt nothing."
麝月听说，忙向镜中摆手儿。,Musk signalled to him agitatedly in the glass with her hand.,Mingyue heard that he had been trying to shake his head before the mirror.,Bao-yu heard this and waved his hand in front of Jia Yun to get him to shake it.,Mishao heard and hurriedly waved her hands in the mirror.,She realized with a start that the speaker was speaking through the mirror and hurriedly waved her hand in front of it.,"Upon hearing this, Xian Yue hurriedly made hand gestures towards the mirror.",Patience made a beckoning motion to her from the mirror.,Mengyue heard that she should busy herself with the mirror's reflection.</s>,"Chestnut heard this, and holding up her hand before the mirror could see it, laughed at her own pretty face.","Smells like someone heard that, busy waving hands in front of the mirror.",Musk heard her and hurried to arrange himself in the mirror.
宝玉见他星眼微饧，香腮带赤，不觉神魂早荡，一歪身坐在椅子上，笑道：“你才说什么？”,At the sight of those soft cheeks so adorably flushed and the starry eyes a little misted with sleep a wave of emotion passed over him. He sank into a chair and smiled back at her: 'What was that you were saying just now before I came in?',"Bai saw him yawning with his eyes slightly open, and his cheeks burning red, so he was not surprised at the sudden change of his mind. He said to himself, ""What did you say earlier?""","The fact that Starling's eyes were open and her mouth was white caused Bao-yu to suddenly lose all sympathy for her condition, and he sat himself firmly in a chair with a gesticulation of his hands. 'What do you mean, last minute!' he said to himself, as if speaking silently to his own subconscious.","Jade saw that his eyes were slightly glazed and his cheeks were flushed, and he couldn’t help being mesmerized by her beauty. He leaned forward and sat down on the chair, smiling and asking, ""What did you just say?""","The sight of her recent changeable state, the pinkiness of her cheeks, the faintness of her eyes, combined with the sudden liveliness of her expression, had seized Bao-yu and produced in him a momentary absorption which was brought to an end by the question: 'What was that you said?'","Seeing his eyes slightly glazed over like stars and his cheeks flushed with a hint of fragrance, Doudou's charm had already affected him deeply. Without hesitation, he leaned back and sat in a chair, chuckling as he asked, ""What did you just say?""",Her cloudy eyes were suffused with excitement and her cheekbones were flushed. Bao-yu felt his heart go weak. He staggered a little as he sat down on a chair. 'What was that you said?',"Bao Yu saw him with a twinkling gaze, his cheeks flushed with excitement. Without realizing it, his spirit was already entranced. He slumped his body down in the chair, laughing and saying, ""What did you say?""</s>","Bao-yu saw the mischievous twinkle in her eyes and the blush on her cheeks, and felt his heart skip a beat. He sank into a chair with a groan. 'What were you saying?'","Jadeite sees him with starry eyes slightly squinted, his cheeks fragrant, unconsciously his spirit wandered, leaning slightly and sitting on the chair, he said laughing: ""What are you talking about?""","Bao-yu observed that her eyes had a far-away look and her cheeks had a flush of pink; and, without being aware that he was doing it, he sat down on the edge of the kang with a sudden tremor of the spirits. 'What were you saying?' he asked."
夹竹桃也开了。 平安里也是有几棵夹竹桃的，栽在晒台上碎砖围起来的一掬泥土中，开出绚烂的花朵。,"Before long, the oleanders, planted haphazardly in makeshift planters formed from broken bricks on balconies, put forth their dazzling flowers.",The bamboo is blooming as well. The peace village has a few bamboo trees planted in the shade of broken bricks on top of which a pebble-shaped soil was placed. The flowers bloom in great abundance.,"Spider vines also flowered, forming a lush clump of contrasting green hues on the coffee table where someone had planted them in废弃砖块中; their flowers sparkled.","The magnolias are also blooming. There are a few magnolias in Peace Street as well, planted in a little patch of soil surrounded by broken bricks on the deck.","Now the bamboo flowers were in bloom, too. There were nightbuses and samovars and pots of bamboo flowers planted in front of people's doors throughout Peace Lane; but only this one spot where someone had taken the time to dig a patch of flowering bamboo root into the broken bricks had made anything really beautiful.","The Jacaranda has bloomed. There are a few Jacarandas in平安里, planted in a small patch of earth surrounded by broken bricks on the rooftop, their vibrant flowers shining forth.","Fences of shattered bricks line the alleys of Peace Lane, and in them potted tropicals, including some gorgeous pink bougainvillea.","The jujube trees have also bloomed. There are a few jujube trees in Ping An Li, planted in a patch of soil surrounded by broken tiles on a drying rack, blooming with vibrant flowers.</s>","Fragrant olives also bloomed, a few of them that had been planted by the tiles on the flat roof of Peace Lane, held in the clay soil in a patch of broken bricks.","The loquat tree has bloomed as well. There are a few loquat trees in Peaceful Village, planted on the sun-drenched terraces with a scoop of soil surrounded by broken bricks. Blooming lavishly with beautiful flowers.","The almond tree outside my grandma's gate was in bloom, and there were almond trees in bloom elsewhere on Peace Lane, where they were grown in clay beds surrounded by fragments of broken bricks."
