chinese	english
又骂莺儿。	Once more she rebuked Oriole.
等到她想叫我来掸时，我已经一步跨出门去。	By the time she wanted to ask me to help her, I had already strode out of the room.
我还存了当年交待材料的副本，有一回拿给一位搞英美文学的朋友看，他说很好，有维多利亚时期地下小说的韵味。	I still keep the duplicates of my confessions from back then. Once, I showed them to a friend who majored in English and American literature. He said they were all very good, with the charm of Victorian underground novels.
现今宝钗生怕宝玉教训他，倒没意思，便连忙替贾环掩饰。	But Bao-chai was ignorant of all this; and fearing that Bao-yu might embarrass them all by delivering a big brother's telling-off, she hastened to Jia Huan's defence.
她觉得难以忍受，立刻大哭起来，企图在一张小床上哭醒。	She couldn't bear it and wept, as if she were in her little bed trying to cry herself awake.
隐秘的地方往往是流言丛生的地方，隐私的空气特别利于流言的生长。	It thrives in the most secret of places: a clandestine atmosphere is particularly beneficial to its development.
不过她说，早晚要一塌糊涂，没有别的出路。	But she said, They will be that bad sooner or later. There's no way out.
那…… 那便如何是好？	Oh help! What am I going to do?
后来他感到了狐狸的温暖的皮毛凑近了自己的身体，他等待着它的尖利牙齿的撕咬。	After a while, Old Geng felt warm fur rubbing against his body, and he lay there waiting for the razor-sharp teeth to begin ripping him apart.
她一路聒噪，引得许多路人回头侧目，王琦瑶告诫几次没告诫住，最后只得停住脚步，说不去了，片厂没到，洋相倒先出够了。	The whole way there Wu Peizhen couldn't stop jabbering, attracting curious glances from people on the street. Wang Qiyao warned her several times to get hold of herself. Finally she had to stop in her tracks and declare she wasn't going any further—they had not even set foot in the studio and Wu Peizhen had already embarrassed her enough.
一看她就是个外来的，都把目光投过去，待她要问路时，目光又都缩了回去。	People stared at her. One glance told them that she was an outsider, but just as she was getting ready to ask directions they would immediately look away.
能不能劳你大驾躺过来一点？	Could you please move a little closer?
他这一天已然小心收敛，不说一句粗话，这时终于忍不住说了一句。	He had been trying so hard all day to keep his language clean.
上海弄堂的感动来自于最为日常的情景，这感动不是云水激荡的，而是一点一点累积起来。	What moves you about the longtang of Shanghai stems from the most mundane scenes: not the surging rush of clouds and rain, but something steadily accumulated over time.
父亲焦裂的嘴唇接触到水时，泡酥了的嘴唇一阵刺痛，一股血腥味顺着牙缝直扑进喉咙，在一瞬间他的喉管痉得笔直坚硬，连连嗝呃几声后，喉管才缓解成正常状态。 温暖的墨水河河水进入父亲的喉管，滋润着干燥，使父亲产生了一种痛苦的快感，尽管血腥味使他肠胃翻腾，但他还是连连掬水进喉，一直喝到河水泡透了腹中那张干渣裂纹的拤饼时，他才直起腰来舒了一口气。	Sharp pains racked his cracked, swollen lips, and the brackish taste of blood seeped between his teeth and slid down his throat, moistening the parched membranes. He experienced a satisfying pain, and even though the taste of blood made his stomach churn, he scooped up handful after handful of water, drinking it down until it soaked up the dry, cracked fistcake in his stomach. He stood up straight and took a deep breath of relief.
只盼个人来说话解解闷儿。”	'If only there were someone who could come and talk to me and help me to pass the time!'
王琦瑶开始矜持着，渐渐就打开了话匣子，更是有无数个回答等着她来问的。	Wang Qiyao, for her part, resisted answering them at first, but once she began to open up, she had an endless series of revelations for Zhang Yonghong to uncover.
程先生正要关窗，却在空气里嗅到一股桂花香，虽不浓烈，却沁人肺腑。	Mr. Cheng was about to close the window when he caught the scent of osmanthus blossoms in the air; it wasn't terribly strong, but the fragrance went straight to his heart.
幸好蕊初乖觉，发觉他双眼已盲，说道：“没…… 没有了。”	Fortunately Blossom's quick wits had already sensed that the old man was blind and she said 'no one' without needing to be told.
你公公…… 要送咱家一头大黑骡子……”	Your father-in-law . . . going to give me a big black mule . . .
审问者：你了解三体文明吗？	INTERROGATOR: Do you understand Trisolaran civilization?
小玄子一怔，道：“好，咱们打个彩头。	Misty seemed somewhat taken aback by this but then concurred. 'All right. We fight for money.
韦小宝大奇，低声问道：“这小姑娘是谁？	'Who is this girl?' he asked softly.
忽然之间我从头顶到尾骨一齐收紧，开始极其猛烈地射精。	Suddenly a shudder traveled from the top of my head to my tailbone and I began to ejaculate wildly.
小郡主睁开眼来，瞧了他一眼，忙又闭上眼睛。	The Little Countess opened her eyes wide, looked at him for a moment, and then quickly closed them again.
一九三九年古历八月初九的太阳消耗殆尽，死灰余烬染红天下万物，父亲经过一天激战更显干瘦的小脸上凝着一层紫红的泥土。	The sun had nearly set on this ninth day of the eighth lunar month of the year 1939, and the dying embers of its rays cast a red pall over the world below. Father's face, turned unusually gaunt by the fierce daylong battle, was covered by a layer of purplish mud.
她有点窘，只站在门口，自然又招来好奇的目光。	Wu Peizhen was a bit shy and waited outside. This naturally drew more curious gazes.
我说那不行。	I said that wasn't going to work.
以前她承认过分开双腿，现在又加上，她做这些事是因为她喜欢。	She admitted before that she opened her legs; now she added that the reason she had done it was because she liked it.
审问者：现在告诉你，我们已经得到了被降临派截留的全部三体信息。	INTERROGATOR: We have already obtained all the Trisolaran messages intercepted by the Adventists.
以后她就没和任何人有过交情。	After that she didn't have deep relationships with other people.
八月初九的大半个新月亮已经挂上了天，冰凉的月光照着爷爷和父亲的背，照着沉重如伟大笨拙的汉文化的墨水河。	The cold rays of the half-moon on that August 9 evening filled the sky, falling lightly on the backs of Granddad and Father and illuminating the heavy Black Water River, which was like the great but clumsy Chinese race.
我想一定发生了什么大事，以致军代表有了好办法来收拾我和陈清扬，至于是什么事我没想出来，那年头的事很难猜。	I believed that some major event must have happened to give the military deputy a way to take care of Chen Qingyang and me. As for what the event was, I couldn't figure it out—in those days anything could happen.
不过你不是我对手，再打也没用。”	But I don't see the point: you'll never be able to beat me!'
宝玉道：“我说自家死了干净，别错听了话，又赖人。”	'I said if I were to die,' said Bao-yu. 'Don't twist my words. It isn't fair.'
运河看上去也很普通，可能是因为在这一段它十分狭窄的缘故。 这段水道是在上世纪初由十万人一锹锹开凿出来的。	The canal didn't seem very special, probably because it was so narrow here, but a hundred thousand people had dug out this part of the canal in the previous century, one hoe at a time.
爷爷对着狗群打完了所有的子弹，没受伤的狗逃窜出几箭远，对着爷爷和父亲发出愤怒的咆哮。	While he was emptying his pistol into the pack, the uninjured dogs fled into the sorghum field, out of range, where they howled furiously at the two humans.
我问她我刚才说的事儿你答应不答应？	I asked her will you do it or not?
爷爷和父亲听到人声，倍觉亲切，忘了疲乏，急匆匆赶过去。	The sound of that voice gave Granddad and Father such a warm feeling they forgot how tired they were and rushed over to see who it was.
大家再看一遍孩子，称赞她大有人样，然后就围桌坐下，正好一人一面。	Everyone went inside to see the baby before dinner and they all commented on how precious she looked. Since there were four of them, it worked out perfectly when they sat down at the table, one person on each side.
一面便问：“你蓉大爷在那里呢？”	She turned to the pages. 'Where is Master Rong, then?'
其实这件事上，我也不是清白无辜。	As far as border-crossing went, I wasn't completely innocent.
韦小宝道：“那也不见得，咱们再打一会试试。”	'Is that right?' protested Trinket. 'Come on then: let's see—'
恰值士隐走来听见，笑道：“雨村兄真抱负不凡也！”	Shi-yin smiled. 'You are a man of no mean ambition, Yu-cun.'
我老实跟你说，你油腔滑调，狡猾多诈，跟为师的性格十分不合，我实在并不喜欢，所以收你为徒，其实是为了本会的大事着想。	I don't mind telling you that I find you both glib-tongued and sly. Your nature is a very different one from my own, and I must admit that I am not at all happy about this. In taking you on as my apprentice, it's more the interests of the Society than anything else that I have in mind.'
小红笑道：“你老人家当真的就信着他去叫么？”	'Are you really going to ask him in?'
这时汪淼收到了大史回的短信：我们也看到他了，没事，该干什么干什么。	Wang received Da Shi's reply text: We also see him. No worries. Carry on.
只看那些名牌：耐克，彪马，几乎都来自于运动服装，而西装的老牌子“皮尔·卡丹”，却是在衰落下去。	Just look at the most popular brand names of the day—Nike and Puma—you could see that they were all athletic apparel, whereas brands like Pierre Cardin had long been on the way down.
“叶哲泰，这一点你是无法抵赖的！	'Ye Zhetai, you cannot deny this charge!
后面又有一偈云：	On the back of the stone was inscribed the following quatrain:
韦小宝道：“我学过一些功夫，可算不得有什么尊师。	'I've had a little training,' said Trinket, 'but I didn't have a proper teacher.
奶奶听到东北方向有隆隆雷声响起。	Thunder rumbled off to the northeast.
是什么？	What can it be?
王琦瑶知道了，拍电影最重要最关键的一瞬，是“开麦拉”的这一瞬，之前全是准备和铺垫。 之后呢？	Wang Qiyao had learned that the most critical moment in making a film came the second that the director calls, 'Camera.' Everything up to that point boils down to preparation and foreshadowing, but what happens afterward?
不一会儿，导演就派人来招呼她去，吴佩珍自然尾随着。	Before long the director sent someone over to escort Wang Qiyao to the set, Wu Peizhen naturally following close behind.
只有天下之主，方能保有九鼎。	Of course, as ruler of the whole Empire, only the Zhou king had the right to be guardian of the cauldrons.
这样提醒了以后，队长就更想不起来我是谁了。	Having been reminded that way, the team leader was even more reluctant to refresh his memory about me.
腥甜的气味令人窒息，一群前来吃人肉的狗，坐在高粱地里，目光炯炯地盯着父亲和余司令。	The smell took their breath away. A pack of corpse-eating dogs sat in the field staring at Father and Commander Yu with glinting eyes.
她哭了很久，总是不死心。 她一直不死心，直到二十年后面对小和尚。	She cried for a long time, but she didn't want to give up hope, not until twenty years later when she faced the little Buddha.
对于你父亲的死，你母亲没有责任，她也是受害者。	Your mother bears no responsibility for your father's death. She was a victim as well.
他的心中突然涌起了一阵对史强的憎恨，这个王八蛋怎么会想出这样的主意？！	All at once, he was overwhelmed by a deep hatred for Shi Qiang. How could the bastard have come up with such an idea?
“是的，”女作家点头赞同。	'Yes,' the author agreed, and nodded.
早上起雾以后，我和她分了手，下山去放牛。	In the foggy dawn, I left her and went down the mountain to herd buffalo.
麝月道：“没有钱。”	'I haven't got any money.'
凶猛的野兽要伤它吃它，它只有逃跑，倘若逃不了，那只有给人家吃了。”	So when other animals want to hurt it or to eat it, all it can do is run away. If it can't escape by running away, it gets eaten.'
他还看到了镜面上一块深红色的圆斑，不知是不是血。	He also saw a deep red spot on the mirror surface. He wasn't sure if it was blood.
咱们倒得说说！”	Perhaps you'd like to say a bit more on that subject?'
可巧老太太给林姑娘送钱来，正分给他们的丫头们呢，见我去了，林姑娘就抓了两把给我。	When I got there, Miss Lin had just been given some money by Her Old Ladyship and was sharing it out among her maids, so when she saw me she just said 'Here you are!' and gave me two big handfuls of it.
士隐不待说完，便道：“兄何不早言!	'Why ever didn't you say this before?' said Shi-yin interrupting him.
她要给我生一窝小崽子，过几年就耷拉到这里。	She was going to have a brood of babies with me. Let them hang down to here in a few years.
与信同来的还有一大笔汇款，这是父亲落实政策后补发的工资。	Accompanying the letter was a sum of money: the back pay owed to her father after his rehabilitation.
要借给温家哥儿，不错，不错，你老人家确是吩咐过的。”	I ought to have lent the money to one of the Wen brothers, that's right, I remember now, you told me.'
如今现有一段风流公案，正该了结，这一干风流冤家尚未投胎入世， 趁此机会，就将此物夹带于中，使他去经历经历。”	'There is a batch of lovesick souls awaiting incarnation in the world below whose fate is due to be decided this very day. I intend to take advantage of this opportunity to slip our little friend in amongst them and let him have a taste of human life along with the rest.'
因后来吃“独参汤”，代儒如何有这力量，只得往荣府里来寻。	The most recent advice was that the patient should be given a pure decoction of ginseng without admixture of other ingredients. So costly a remedy was far beyond Dai-ru's resources and he was obliged to go to the Rong-guo mansion to beg.
知道这意味着什么吗？	Do you realize what that would mean?
且说近日宝玉病的时节，贾芸带着家下小厮坐更看守，昼夜在这里；那小红同众丫鬟也在这里守着宝玉。	It may be recalled that when Bao-yu's sickness was at its height, it had been found necessary to call in Jia Yun with a number of pages under his command to take turns in watching over him. Crimson was there too at that time, having been brought in with the other maids from his apartment.
那玩意也不感到惭愧，直挺挺地从她两腿之间插了进来。	The thing didn't feel embarrassed either; it just forced its way straight into the hole between her thighs.
还有我的猎枪，也不肯还我。	They didn't return my hunting gun either.
大号一声不吭。	No response.
那种棚户的杂弄倒是全面敞开的样子，油毛毡的屋顶是漏雨的，板壁墙是不遮风的，门窗是关不严的。	The longtang in the slums are open-air. The makeshift roofs leak in the rain, the thin plywood walls fail to keep out the wind, and the doors and windows never seem to close properly.
“死了？” 吹鼓手提着打瘪了的喇叭说。	'Is he dead?' asked the musician, who was examining the bent mouth of his trumpet.
冷雾，雨水，都沁进了她的身体。	Cold fog and icy rain both seeped into her body.
导演告诉她，她现在是一个旧式婚礼中的新娘，披着红盖头，然后有新郎官来揭盖头，一点一点露出了脸庞。	Wang Qiyao was to play a bride in a traditional wedding ceremony. She would be wearing a crimson bridal veil over her head when the groom entered and he would pull it away, slowly revealing her face.
我说你想借机整人，我也不是好惹的。	I told him that he could take his chances and give me trouble, but I was no pushover.
不知不觉，连成一体的雾海中竟有些空洞出现，一穗一穗被露水打得精湿的高粱在雾洞里忧悒地注视着我父亲，父亲也虔诚地望着它们。	Imperceptibly tiny openings began to appear in the thick curtain of mist, and one dew-soaked ear of sorghum after another stared sadly at Father, who returned their devout gaze.
也许她会喜欢。	Maybe she'd like it.
唯一的问题是她是个女人，女人家总有点小器。	But she was a woman, and women in general were more or less small-minded.
陈清扬对此极为满意。 我也极为满意。	Chen Qingyang was very satisfied with my performance, and so was I.
花轿又起行，喇叭吹出一个猿啼般的长音，便无声无息。	The sedan chair set out again as a trumpet blast rent the air, then drifted off into obscurity.
她说道：你请我来吃鱼，做倾心之谈，鱼在哪里？	She said, You invited me over to eat fish and have a heart-to-heart, but where is the fish?
就算你比世人好，也不犯见一个打趣一个。	Even if you are tho perfect yourthelf, I don't thee why you have to go making fun of everyone elthe.
只是顾全对康熙的义气，不提小皇帝在鳌拜背后出刀子之事。 但这样一来，自己撒香炉灰迷眼、举铜香炉砸头，明知不是下三滥、便是下二滥的手段，却也无法再行隐瞒了。	Out of a sense of loyalty to Kang Xi, he said nothing about Kang Xi stabbing Oboi in the back; but he made no attempt to conceal the fact that he had blinded Oboi with incense-ash and then hit him on the head with a bronze brazier, although he was fully aware that to a man of honour like the Helmsman this would seem, if not a third-rate, certainly a pretty second-rate way of overcoming an enemy.
这一夜没有月亮，他们沿着长长的天线阵列漫步。 沙瑞山指着天线说：“壮观吧？	The night was moonless. They walked along the row of antenna dishes, and Sha pointed to them. 'Breathtaking, aren't they?
正巧这时陈清扬来到草屋门口，她看见我赤条条坐在竹板床上，阳具就如剥了皮的兔子，红通通亮晶晶足有一尺长，直立在那里，登时惊慌失措，叫了起来。	Chen Qingyang arrived at my thatched hut precisely at that moment and caught sight of me sitting naked on the bamboo bed. My penis was like a skinned rabbit, red, shiny, and a foot long, frankly erect. Panicked, Chen Qingyang immediately screamed.
“‘清风虽细难吹我，明月何尝不照人？’	The cool wind sways not me, howe'er it blow; For me the bright moon still shines everywhere.
自己要往低处走，别人就怎么扶也扶不起了！	If you want to lead a life of shame, go ahead! Nobody's going to be able to help you if you don't help yourself!'
他和海老公相处一日，又和老吴、温氏兄弟赌了半天钱，可不知他们便是太监，此刻听海老公这么说，这才渐渐省悟，心道：“啊哟，这么一来，我岂不变成了小太监？”	So this was what real Palace Eunuchs were like! 'Cripes!' he cried silently to himself. That means I've become a little Palace Eunuch myself! I've lost my balls!'
于是将“大擒拿手”中的一些招式也演了一遍。	And he proceeded to demonstrate as much as he could remember of the Greater Catch-Can.
这话暂且不提。	But of this, for the time being, no more.
所以她给我二百块钱。	That was why she gave me two hundred yuan.
接下来的舞曲，也有别人来邀请王琦瑶了。	When the tune changed, someone else invited Wang Qiyao to dance.
汪淼摘下3K眼镜，虚弱地靠着车轮坐在地上。	Wang took off the 3K glasses and sat down weakly on the ground, leaning against the wheel of his car.
我同时做着好几样事情。 而军代表却在一边碟碟不休，说我是如何之坏。 他还让我去告诉我的“臭婊子”陈清扬，她是如何之坏。	As I bustled around doing several things at once, the military deputy stood beside me, talking his head off. He went on nagging about how bad I was, and how bad Chen Qingyang was, even asking me to pass the message to my 'stinking whore' Chen Qingyang.
这件事真叫人难以置信。	The whole thing was just unbelievable.
你给我滚下来！”	'Get the hell out of here!'
人保组的同志说，要我们交待男女关系问题。	The security comrades told us to confess our love affair.
“小娘子，你可不能让单扁郎沾身啊，沾了身，你也烂啦！”	'Little bride, if you let Shan Bianlang touch you, your skin will rot away!'
地板和木窗框散发出木头的霉烂的暖意，有老鼠小心翼翼的脚步，从心上踩过似的，也是关照。	The floor and the window frames emitted the odiferous warmth of decaying wood. Scurrying mice conveyed their greetings.
他那时就起了杀人之心。	But murderous thoughts had already entered his mind.
韦小宝道：“公公，我…… 我头痛得很，怕…… 怕得厉害，你又咳得这样，我真担心，什…… 什么都胡涂了。”	'Goong-goong, I... I've got this terrible headache . . . and I'm so worried about your cough ... I just can't keep my mind on anything!'
“最高指示：要文斗不要武斗！” 叶哲泰的两名学生终于下定了决心，喊出了这句话，两人同时冲过去，拉开了已处于半疯狂状态的四个小女孩儿。	Ye's two students had finally had enough. 'The chairman instructed us to 'rely on eloquence rather than violence'!' They rushed over and pulled the four semicrazed girls off Ye.
贾瑞自觉汗津津的，底下已遗了一滩精。	He could feel the sweat trickling all over his body and lower down in the bed a little pool of semen that he had just ejaculated.
她按了地址去到肇嘉浜找表哥，一片草棚子里，左一个岔，右一个岔，布下了迷魂阵。	Wu Peizhen went to the address in Qijiabing in search of her cousin. All around were thatch-covered shacks surrounded by small unmarked trails that extended in different directions, making it virtually impossible to find one's way.
她说：我知道。	She said, I know.
假如有人打着火把行路，那就是说，希望全世界的人都知道他在那里。 假如你不打火把，就如穿上了隐身衣，知道你在那里的人能看见，不知道的人不能看见。	If you traveled with a torch, it meant you wanted the whole world to know where you were; if you didn't, it would be like wearing a cape of invisibility—people who knew you were there could see you, and people who didn't couldn't.
赌钱时没听到他们说起拿住了人，多半是逃出去啦。”	They didn't say anything about someone getting caught when we were gambling . . . Most probably he got away all right.'
既然有这样的好处，为什么不参加。	Since there was such an advantage, how could we miss the opportunity?
正发呆时，陡听得“当”的一声又若金钟铜磬一般，倒吓得不住的展眼儿。	As she studied the strange box, it suddenly gave forth a loud dong! like the sound of a bronze bell or a copper chime, which so startled the old lady that her eyes nearly popped out of her head.
小红笑道：“那一个要是知好歹，就不进来才是。”	Crimson laughed: 'If your Mr Yun knows what's good for him, he won't agree to come.'
军代表吓得一步跳出房去。	Frightened, the military deputy leaped out of the room.
环兄弟，出来!	Huan! Come out here!
那是在一月里，旱季最冷的几天。	This was in January, the coldest days of the dry season.
很不坏之后，她还说这不是罪孽。	After the 'not bad at all,' she still said it was no sin.
我倒倾向于证明自己不无辜。	I preferred to prove our guilt.
10．老克腊	Old Colour
韦小宝心念电转：“老乌龟找的是我，又不是找这小宫女，不会杀死她的。”	'It's me he's after, not this girl,' thought Trinket. 'I don't think he'll kill her.'
他们还爬上过楼顶平台，在那里放鸽子或者放风筝，展目便是屋顶的海洋，有几幢耸起的，是像帆一样，也是越过时间的激流。	They had also climbed up to the rooftops to release pigeons and fly kites, and there, looking out over the sea of rooftops, a few of which jutted out like sails, felt as if they were navigating against the currents of time.
说完转身走进昏暗的馆内。	He went into the dim interior of the planetarium.
韦小宝又是一惊：“什么福建话？	Here was another surprise for Trinket.
鳌拜乘此机会，对我江南士子大加镇压。	So Oboi is using this business to crush the Southern gentry, is he?
那时候在交待材料里写到她的乳房，我还有点犹豫。 她说，就这么写。	Back when I hesitated to mention her breasts in the confessions, she said, Just write it down.
关于北京要来人视察知青的事，当地每个人都知道，只有我不知道。	As for the Beijing relief delegation sent to investigate the city students' situation, everyone in the local area knew about it except for me.
类似明星的，竟一个也见不着。	But they did not see a soul who even faintly resembled a movie star.
单廷秀那天挎着粪筐子到我外曾祖父村里转圈，从众多的花朵中，一眼看中了我奶奶。	Shan Tingxiu, the groom's father, was walking around Great-Granddad's village, dung basket in hand, when he spotted Grandma among the other local flowers.
贾瑞道：“这怎么落纸呢？”	'But I can't put a thing like this down in writing!'
铁门上带尖的金属栅条大部分在武斗初期就被抽走当梭镖了，剩下的两条正好挂住了她，那一瞬间，生命似乎又回到了那个柔软的躯体。	Most of the gate's metal bars, capped with sharp tips, had been pulled down at the beginning of the factional civil wars to be used as spears, but two still remained. As their sharp tips caught the girl, life seemed to return momentarily to her body.
就在这种情况下，我想起十五队的队医陈清扬是北医大毕业的大夫，对针头和勾针大概还能分清，所以我去找她看病。	Under the circumstances, I recalled that the doctor at the fifteenth team, Chen Qingyang, had graduated from Beijing Medical School. Maybe she would be able to tell the difference between a hypodermic and a crotchet needle. So I went to see her.
两滴高粱米粒般晶莹微红的细小泪珠跳出奶奶的睫毛，流过面颊，流到嘴角。	Two teardrops as transparently pink as immature grains of sorghum wetted Grandma's eyelashes and slipped down her cheeks to the corners of her mouth.
我们逃进山里的第一个夜晚，陈清扬兴奋得很。	The first night we escaped to the mountains, Chen Qingyang was very aroused.
后来我带人保组的人到我们住过的地方去勘查。	Later I led those security people to our place to investigate.
我是想研究一下她的结构，这也是在她的许可之下。	I did want to study her anatomy, but that was with her permission, too.
韦小宝道：“现下怎样？	'What's it like at the moment?' said Trinket.
队长领了一帮人去制止，副队长叫人抬我上牛车去医院。	The team leader took a bunch of locals to stop them. Meanwhile, the vice team leader told someone to take me to the hospital on an ox cart.
那里有很多阿伧铁匠，那些人世世代代当铁匠。	In Husha there were a lot of Ahcang blacksmiths, who had passed on the skill from generation to generation.
无论这城市的外表有多华美，心却是一颗粗鄙的心，那心是寄在流言里的，流言是寄在上海的弄堂里的。	No matter how gorgeous and splendid the city may look on the outside, its heart is vulgar. That heart is born of gossip, and gossip is born of the Shanghai longtang.
不过你年纪小，没杀过人，那也难怪。	I suppose you're only a child though, you've never done it before.
陈清扬说，我天资平常，她显然没把我的文学才能考虑在内。	When Chen Qingyang said I was of average intelligence, she obviously didn't consider my literary talent.
他于眼睛未瞎之时，窗外的花园早看得熟了，何处有花，何处有石，无不了然于胸。	Because he had come to know the garden so well while he still had his sight, he retained a clear memory of where each rock and shrub was situated.
莺儿拍着手儿叫“么！”	'Ace! Ace! Ace!' cried Oriole, clapping her hands.
但无论哪一种弄堂，这空气都是渗透的，无处不在。	But regardless of the type of longtang, this atmosphere penetrates everywhere.
到了这次，刚要出镜子来，只见两个人走来，拿铁锁把他套住，拉了就走。	But the last time, just as he was going to return from the mirror, two figures approached him holding iron chains which they fastened round him and by which they proceeded to drag him away.
他看着它长起了一身好皮毛，又厚又绒，非常漂亮，肯定能卖好价钱。	He knew he could sell the beautiful, bushy pelt for a good price.
刘老老只得蹭上来问：“太爷们纳福。”	Grannie Liu waddled up to them and offered a respectful salutation.
6. 片厂	The Film Studio
哑巴是余司令的老朋友，一同在高粱地里吃过“拤饼”的草莽英雄，他的一只脚因在母腹中受过伤，走起来一颠一颠，但非常快，父亲有些怕他。	Mute was one of Commander Yu's old bandit friends, a greenwood hero who had eaten fistcakes in the sorghum fields. One of his legs was shorter than the other – a prenatal injury – and he limped when he walked, but that didn't slow him down. Father was a little afraid of him.
我被尖嘴婆打了一板凳后晕了过去，陈清扬曾经从山上跑下来看我。	After the vixen knocked me out with a stool, Chen Qingyang ran all the way down the mountain to see me.
余司令对我父亲说：“走吧，儿子！”	'Let's go, son,' he said.
我二人前日晚上匆匆赶到海宁袁花镇，伊璜先生并不在家，说是出外访友去了。	'As soon as we heard, the two of us hurried as quickly as we could to his home in Yuanhua Town, but he wasn't there. They said he'd gone off to visit a friend.
结尾处，一个大人和一个小孩儿站在死于武斗的红卫兵墓前，那孩子问大人：他们是烈士吗？	At the end, an adult and a child stand in front of the grave of a Red Guard who had died during the faction civil wars. The child asks the adult, 'Are they heroes?'
板儿便躲在他背后，百般的哄他出来作揖，他死也不肯。	Ban-er at once hid himself behind her back and neither threats nor blandishments would induce him to come out and make a bow to his 'Auntie'.
“黑暗而血腥，从林中阴森的火光照耀着鲜血流淌的金字塔。 这就是我对它的印象。” 女作家说。	'Dark and bloody,' the author said. 'Blood-drenched pyramids lit by insidious fires seen through dark forests.
从云南回来时我损失了一切东西：我的枪，我的刀，我的工具，只多了一样东西，就是档案袋鼓了起来。	I lost everything when I came back from Yunnan: my gun, my knife, and my tools. I gained one thing: a bulging file of confessions.
我们上了山，先在十五队后山上种玉米，那里土不好，玉米有一半没出苗。	We went up the mountains, and first we planted some corn on the back slope of the fifteenth team. The soil there was poor, and half the corn didn't grow.
宝玉问道：“你可知道老爷叫我是为什么？”	'I suppose you don't know what he wants to see me about?' Bao-yu asked him.
这时，叶文洁接到了通知，她和父亲的案件都被彻底平反；不久之后又收到了母校的信，说她可以立刻回去工作。	Ye then received a notice: Both she and her father had been politically rehabilitated. Soon after, a letter arrived for her from Tsinghua, stating that she could return to teach right away.
“爹，你早把这个药方告诉我就好啦，俺娘伤口里的血咕嘟咕嘟往外冒，我就用黑土堵啊堵啊，堵住一会儿，血又冲出来。	'Dad, wouldn't it've been great if you'd told me about this before? Mother was bleeding so much I kept packing earth on the wounds, but that only stopped it for a while.
一名日本自卫队军官说：“我们认为，唯一可能成功的行动，是借助于我方潜伏在‘审判日’号内部，并对三体信息的存贮位置熟悉的侦察人员，在行动前控制或转移存贮设备。”	A Japanese Self-Defense Forces officer said, 'We believe that the only chance for success is to rely on spies on Judgment Day. If they're familiar with where the Trisolaran information is stored, they can control the area or move the storage equipment elsewhere right before our operation.'
她背叛整个人类文明的那个血色清晨真的存在过？	Did that blood-hued morning, when she had betrayed the entire human race, really happen?
四十年的故事都是从去片厂这一天开始的。	FOUR DECADES THE story spans, and it all began the day she went to the film studio.
高粱的味道深入人心。	The aroma of sorghum burrowed into her heart.
我在那里买了些火柴和盐。	I bought a few boxes of matches and salt.
韦小宝大吃一惊，霎时之间全身寒毛直竖，忍不住身子发抖，牙关轻轻相击，强笑道：“公公，你…… 你今儿晚上的说话，真是…… 嘻嘻…… 真是奇怪。”	Shock raised the fine hairs on Trinket's body. An uncontrollable shivering took possession of him and his teeth began chattering. Nevertheless he managed a nervous laugh. 'G-g-goong-goong, you're speaking very—ha ha!—s-strangely tonight.'
忽然发生变故，父亲先是听到耳边一声尖利呼啸，接着听到前边发出什么东西被迸裂的声响。	Then something unexpected occurred. Father heard a shrill whistle, followed by a loud burst from up ahead.
周瑞家的道：“等奶奶的示下。”	'No, ma'am. I was waiting for your instructions.'
“不是我家小三子。” 老头子遗憾地晃晃脑袋，坐回去。	'You're not my Number Three,' the old man said unhappily, his head wobbling as he sat down on a pile of loot.
她见我进来，淡淡地一笑，说你好了吗，带这些东西上哪儿。	When she saw me come into her clinic, she gave me a faint smile and said, Are you completely recovered? Where are you going with all that stuff?
村里人的鸡窝在那一年里，仿佛成了这只狐狸的食品储藏库。	That year the villagers' chicken coops seemed built solely to store its food.
但只一件，你还不知道呢：我们这里不比五年前了。	'There's only one thing, though. I don't expect you know, but things here are very different from what they were five years ago.
她不知道为什么人家要把她发到云南那个荒凉的地方，也不知为什么又放她回来。 不知道为什么要说她是破鞋，把她押上台去斗争，也不知道为什么又说她不是破鞋，把写好的材料又抽出来。	She didn't know why they dispatched her to a desolate place like Yunnan, nor did she know the reason for letting her return; she didn't know why they accused her of being damaged goods and escorted her to the stage to be denounced, nor could she figure out why they said she was not damaged goods and removed the confessions she had written from her file.
贾芸道：“方才他问你什么绢子，我倒拣了一块。”	'I heard her asking you about a handkerchief. Only it just so happens that I picked one up.'
她抱歉道，他还是跳迪斯科去吧，别陪她磨洋工了。	She apologized, suggesting that he go back to disco dancing rather than waste his time with her.
这人已年过半百，满脸风霜，在叶文洁面前手忙脚乱，书什么的倒了一地。	The man was over fifty years old, and his face was already full of wrinkles. He was very nervous in front of Ye, and spilled books everywhere.
只可气晴雯绮霞他们这几个都算在上等里去，伏着宝玉疼他们，众人就都捧着他们。	What makes me so angry is that people like Skybright and Mackerel should count as top grade when everyone knows they're only put there to curry favour with Bao-yu.
那僧说：“若问此物，倒有一面之缘。” 说着取出递与士隐。	'Oh, as for that,' said the monk: 'I think it is on the cards for you to have a look at him,' and he took the object from his sleeve and handed it to Shi-yin.
佳蕙道：“你这两日心里到底觉着怎么样?	'What's been the matter with you lately?' said Melilot.
